प्रतिस्पर्धियों	0	15	प	प्	प्र	ं	ों	यों	0	प	्	र	त	ि	प्	्र	रत	ति	िस	प्र	्रत	रति	तिस	िस्	प्रत	्रति	रतिस	तिस्	िस्प	प्रति	्रतिस	रतिस्	तिस्प	िस्पर	NULL	NULL	पर	भारी	0
सकता	1	4	स	सक	सकत	ा	ता	कता	0	स	क	त	ा	_	सक	कत	ता	ा_	__	सकत	कता	ता_	ा__	___	सकता	कता_	ता__	ा___	____	सकता_	कता__	ता___	ा____	_____	किया	जा	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जा	सकता	NULL	NULL	0
EOL
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	NULL	NULL	फोन	में	0
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	NULL	इस	में	एक	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	इस	फोन	एक	साथ	0
एक	1	2	ए	एक	NULL	क	एक	NULL	0	ए	क	_	_	_	एक	क_	__	__	__	एक_	क__	___	___	___	एक__	क___	____	____	____	एक___	क____	_____	_____	_____	फोन	में	साथ	फ्रंट	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	में	एक	फ्रंट	और	0
फ्रंट	0	5	फ	फ्	फ्र	ट	ंट	रंट	1	फ	्	र	ं	ट	फ्	्र	रं	ंट	ट_	फ्र	्रं	रंट	ंट_	ट__	फ्रं	्रंट	रंट_	ंट__	ट___	फ्रंट	्रंट_	रंट__	ंट___	ट____	एक	साथ	और	रियर	B_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	साथ	फ्रंट	रियर	कैमरा	I_ASP
रियर	0	4	र	रि	रिय	र	यर	ियर	1	र	ि	य	र	_	रि	िय	यर	र_	__	रिय	ियर	यर_	र__	___	रियर	ियर_	यर__	र___	____	रियर_	ियर__	यर___	र____	_____	फ्रंट	और	कैमरा	का	I_ASP
कैमरा	0	5	क	कै	कैम	ा	रा	मरा	1	क	ै	म	र	ा	कै	ैम	मर	रा	ा_	कैम	ैमर	मरा	रा_	ा__	कैमर	ैमरा	मरा_	रा__	ा___	कैमरा	ैमरा_	मरा__	रा___	ा____	और	रियर	का	इस्तेमाल	I_ASP
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	रियर	कैमरा	इस्तेमाल	किया	0
इस्तेमाल	0	8	इ	इस	इस्	ल	ाल	माल	0	इ	स	्	त	े	इस	स्	्त	ते	ेम	इस्	स्त	्ते	तेम	ेमा	इस्त	स्ते	्तेम	तेमा	ेमाल	इस्ते	स्तेम	्तेमा	तेमाल	ेमाल_	कैमरा	का	किया	जा	0
किया	1	4	क	कि	किय	ा	या	िया	0	क	ि	य	ा	_	कि	िय	या	ा_	__	किय	िया	या_	ा__	___	किया	िया_	या__	ा___	____	किया_	िया__	या___	ा____	_____	का	इस्तेमाल	जा	सकता	0
जा	1	2	ज	जा	NULL	ा	जा	NULL	0	ज	ा	_	_	_	जा	ा_	__	__	__	जा_	ा__	___	___	___	जा__	ा___	____	____	____	जा___	ा____	_____	_____	_____	इस्तेमाल	किया	सकता	है	0
सकता	1	4	स	सक	सकत	ा	ता	कता	0	स	क	त	ा	_	सक	कत	ता	ा_	__	सकत	कता	ता_	ा__	___	सकता	कता_	ता__	ा___	____	सकता_	कता__	ता___	ा____	_____	किया	जा	है	जो	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जा	सकता	जो	सुविधा	0
जो	1	2	ज	जो	NULL	ो	जो	NULL	0	ज	ो	_	_	_	जो	ो_	__	__	__	जो_	ो__	___	___	___	जो__	ो___	____	____	____	जो___	ो____	_____	_____	_____	सकता	है	सुविधा	कई	0
सुविधा	0	6	स	सु	सुव	ा	धा	िधा	0	स	ु	व	ि	ध	सु	ुव	वि	िध	धा	सुव	ुवि	विध	िधा	धा_	सुवि	ुविध	विधा	िधा_	धा__	सुविध	ुविधा	विधा_	िधा__	धा___	है	जो	कई	अन्य	0
कई	1	2	क	कई	NULL	ई	कई	NULL	0	क	ई	_	_	_	कई	ई_	__	__	__	कई_	ई__	___	___	___	कई__	ई___	____	____	____	कई___	ई____	_____	_____	_____	जो	सुविधा	अन्य	एंड्रायड	0
अन्य	0	4	अ	अन	अन्	य	्य	न्य	0	अ	न	्	य	_	अन	न्	्य	य_	__	अन्	न्य	्य_	य__	___	अन्य	न्य_	्य__	य___	____	अन्य_	न्य__	्य___	य____	_____	सुविधा	कई	एंड्रायड	फोन	0
एंड्रायड	0	8	ए	एं	एंड	ड	यड	ायड	0	ए	ं	ड	्	र	एं	ंड	ड्	्र	रा	एंड	ंड्	ड्र	्रा	राय	एंड्	ंड्र	ड्रा	्राय	रायड	एंड्र	ंड्रा	ड्राय	्रायड	रायड_	कई	अन्य	फोन	में	0
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	अन्य	एंड्रायड	में	उपलब्ध	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	एंड्रायड	फोन	उपलब्ध	नहीं	0
उपलब्ध	0	6	उ	उप	उपल	ध	्ध	ब्ध	0	उ	प	ल	ब	्	उप	पल	लब	ब्	्ध	उपल	पलब	लब्	ब्ध	्ध_	उपलब	पलब्	लब्ध	ब्ध_	्ध__	उपलब्	पलब्ध	लब्ध_	ब्ध__	्ध___	फोन	में	नहीं	है	0
नहीं	1	4	न	नह	नही	ं	ीं	हीं	0	न	ह	ी	ं	_	नह	ही	ीं	ं_	__	नही	हीं	ीं_	ं__	___	नहीं	हीं_	ीं__	ं___	____	नहीं_	हीं__	ीं___	ं____	_____	में	उपलब्ध	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	उपलब्ध	नहीं	NULL	NULL	0
EOL
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	NULL	NULL	में	इंटरनल	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	NULL	फोन	इंटरनल	स्टोरेज	0
इंटरनल	0	6	इ	इं	इंट	ल	नल	रनल	1	इ	ं	ट	र	न	इं	ंट	टर	रन	नल	इंट	ंटर	टरन	रनल	नल_	इंटर	ंटरन	टरनल	रनल_	नल__	इंटरन	ंटरनल	टरनल_	रनल__	नल___	फोन	में	स्टोरेज	4	B_ASP
स्टोरेज	0	7	स	स्	स्ट	ज	ेज	रेज	1	स	्	ट	ो	र	स्	्ट	टो	ोर	रे	स्ट	्टो	टोर	ोरे	रेज	स्टो	्टोर	टोरे	ोरेज	रेज_	स्टोर	्टोरे	टोरेज	ोरेज_	रेज__	में	इंटरनल	4	जीबी	I_ASP
4	0	1	4	NULL	NULL	4	NULL	NULL	0	4	_	_	_	_	4_	__	__	__	__	4__	___	___	___	___	4___	____	____	____	____	4____	_____	_____	_____	_____	इंटरनल	स्टोरेज	जीबी	की	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	स्टोरेज	4	की	है	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	4	जीबी	है	इसे	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जीबी	की	इसे	बढ़ाकर	0
इसे	1	3	इ	इस	इसे	े	से	इसे	0	इ	स	े	_	_	इस	से	े_	__	__	इसे	से_	े__	___	___	इसे_	से__	े___	____	____	इसे__	से___	े____	_____	_____	की	है	बढ़ाकर	32	0
बढ़ाकर	0	6	ब	बढ	बढ़	र	कर	ाकर	0	ब	ढ	़	ा	क	बढ	ढ़	़ा	ाक	कर	बढ़	ढ़ा	़ाक	ाकर	कर_	बढ़ा	ढ़ाक	़ाकर	ाकर_	कर__	बढ़ाक	ढ़ाकर	़ाकर_	ाकर__	कर___	है	इसे	32	जीबी	0
32	0	2	3	32	NULL	2	32	NULL	0	3	2	_	_	_	32	2_	__	__	__	32_	2__	___	___	___	32__	2___	____	____	____	32___	2____	_____	_____	_____	इसे	बढ़ाकर	जीबी	तक	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	बढ़ाकर	32	तक	किया	0
तक	1	2	त	तक	NULL	क	तक	NULL	0	त	क	_	_	_	तक	क_	__	__	__	तक_	क__	___	___	___	तक__	क___	____	____	____	तक___	क____	_____	_____	_____	32	जीबी	किया	जा	0
किया	1	4	क	कि	किय	ा	या	िया	0	क	ि	य	ा	_	कि	िय	या	ा_	__	किय	िया	या_	ा__	___	किया	िया_	या__	ा___	____	किया_	िया__	या___	ा____	_____	जीबी	तक	जा	सकता	0
जा	1	2	ज	जा	NULL	ा	जा	NULL	0	ज	ा	_	_	_	जा	ा_	__	__	__	जा_	ा__	___	___	___	जा__	ा___	____	____	____	जा___	ा____	_____	_____	_____	तक	किया	सकता	है	0
सकता	1	4	स	सक	सकत	ा	ता	कता	0	स	क	त	ा	_	सक	कत	ता	ा_	__	सकत	कता	ता_	ा__	___	सकता	कता_	ता__	ा___	____	सकता_	कता__	ता___	ा____	_____	किया	जा	है	जिसके	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जा	सकता	जिसके	लिए	0
जिसके	0	5	ज	जि	जिस	े	के	सके	0	ज	ि	स	क	े	जि	िस	सक	के	े_	जिस	िसक	सके	के_	े__	जिसक	िसके	सके_	के__	े___	जिसके	िसके_	सके__	के___	े____	सकता	है	लिए	माइक्रोएसडी	0
लिए	1	3	ल	लि	लिए	ए	िए	लिए	0	ल	ि	ए	_	_	लि	िए	ए_	__	__	लिए	िए_	ए__	___	___	लिए_	िए__	ए___	____	____	लिए__	िए___	ए____	_____	_____	है	जिसके	माइक्रोएसडी	कार्ड	0
माइक्रोएसडी	0	11	म	मा	माइ	ी	डी	सडी	1	म	ा	इ	क	्	मा	ाइ	इक	क्	्र	माइ	ाइक	इक्	क्र	्रो	माइक	ाइक्	इक्र	क्रो	्रोए	माइक्	ाइक्र	इक्रो	क्रोए	्रोएस	जिसके	लिए	कार्ड	इस्तेमाल	B_ASP
कार्ड	0	5	क	का	कार	ड	्ड	र्ड	1	क	ा	र	्	ड	का	ार	र्	्ड	ड_	कार	ार्	र्ड	्ड_	ड__	कार्	ार्ड	र्ड_	्ड__	ड___	कार्ड	ार्ड_	र्ड__	्ड___	ड____	लिए	माइक्रोएसडी	इस्तेमाल	करना	I_ASP
इस्तेमाल	0	8	इ	इस	इस्	ल	ाल	माल	0	इ	स	्	त	े	इस	स्	्त	ते	ेम	इस्	स्त	्ते	तेम	ेमा	इस्त	स्ते	्तेम	तेमा	ेमाल	इस्ते	स्तेम	्तेमा	तेमाल	ेमाल_	माइक्रोएसडी	कार्ड	करना	होगा	0
करना	1	4	क	कर	करन	ा	ना	रना	0	क	र	न	ा	_	कर	रन	ना	ा_	__	करन	रना	ना_	ा__	___	करना	रना_	ना__	ा___	____	करना_	रना__	ना___	ा____	_____	कार्ड	इस्तेमाल	होगा	NULL	0
होगा	0	4	ह	हो	होग	ा	गा	ोगा	0	ह	ो	ग	ा	_	हो	ोग	गा	ा_	__	होग	ोगा	गा_	ा__	___	होगा	ोगा_	गा__	ा___	____	होगा_	ोगा__	गा___	ा____	_____	इस्तेमाल	करना	NULL	NULL	0
EOL
स्क्रीन	0	7	स	स्	स्क	न	ीन	रीन	1	स	्	क	्	र	स्	्क	क्	्र	री	स्क	्क्	क्र	्री	रीन	स्क्	्क्र	क्री	्रीन	रीन_	स्क्र	्क्री	क्रीन	्रीन_	रीन__	NULL	NULL	का	आकार	B_ASP
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	NULL	स्क्रीन	आकार	काफी	0
आकार	0	4	आ	आक	आका	र	ार	कार	1	आ	क	ा	र	_	आक	का	ार	र_	__	आका	कार	ार_	र__	___	आकार	कार_	ार__	र___	____	आकार_	कार__	ार___	र____	_____	स्क्रीन	का	काफी	छोटा	0
काफी	0	4	क	का	काफ	ी	फी	ाफी	0	क	ा	फ	ी	_	का	ाफ	फी	ी_	__	काफ	ाफी	फी_	ी__	___	काफी	ाफी_	फी__	ी___	____	काफी_	ाफी__	फी___	ी____	_____	का	आकार	छोटा	है	0
छोटा	0	4	छ	छो	छोट	ा	टा	ोटा	0	छ	ो	ट	ा	_	छो	ोट	टा	ा_	__	छोट	ोटा	टा_	ा__	___	छोटा	ोटा_	टा__	ा___	____	छोटा_	ोटा__	टा___	ा____	_____	आकार	काफी	है	और	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	काफी	छोटा	और	फोन	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	छोटा	है	फोन	में	0
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	है	और	में	सिंगल	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	और	फोन	सिंगल	कोर	0
सिंगल	0	5	स	सि	सिं	ल	गल	ंगल	0	स	ि	ं	ग	ल	सि	िं	ंग	गल	ल_	सिं	िंग	ंगल	गल_	ल__	सिंग	िंगल	ंगल_	गल__	ल___	सिंगल	िंगल_	ंगल__	गल___	ल____	फोन	में	कोर	प्रोसेसर	B_ASP
कोर	0	3	क	को	कोर	र	ोर	कोर	0	क	ो	र	_	_	को	ोर	र_	__	__	कोर	ोर_	र__	___	___	कोर_	ोर__	र___	____	____	कोर__	ोर___	र____	_____	_____	में	सिंगल	प्रोसेसर	लगा	I_ASP
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	सिंगल	कोर	लगा	है	I_ASP
लगा	0	3	ल	लग	लगा	ा	गा	लगा	0	ल	ग	ा	_	_	लग	गा	ा_	__	__	लगा	गा_	ा__	___	___	लगा_	गा__	ा___	____	____	लगा__	गा___	ा____	_____	_____	कोर	प्रोसेसर	है	जो	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	प्रोसेसर	लगा	जो	अब	0
जो	1	2	ज	जो	NULL	ो	जो	NULL	0	ज	ो	_	_	_	जो	ो_	__	__	__	जो_	ो__	___	___	___	जो__	ो___	____	____	____	जो___	ो____	_____	_____	_____	लगा	है	अब	बीते	0
अब	0	2	अ	अब	NULL	ब	अब	NULL	0	अ	ब	_	_	_	अब	ब_	__	__	__	अब_	ब__	___	___	___	अब__	ब___	____	____	____	अब___	ब____	_____	_____	_____	है	जो	बीते	जमाने	0
बीते	0	4	ब	बी	बीत	े	ते	ीते	0	ब	ी	त	े	_	बी	ीत	ते	े_	__	बीत	ीते	ते_	े__	___	बीते	ीते_	ते__	े___	____	बीते_	ीते__	ते___	े____	_____	जो	अब	जमाने	की	0
जमाने	0	5	ज	जम	जमा	े	ने	ाने	0	ज	म	ा	न	े	जम	मा	ान	ने	े_	जमा	मान	ाने	ने_	े__	जमान	माने	ाने_	ने__	े___	जमाने	माने_	ाने__	ने___	े____	अब	बीते	की	बात	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	बीते	जमाने	बात	हो	0
बात	0	3	ब	बा	बात	त	ात	बात	0	ब	ा	त	_	_	बा	ात	त_	__	__	बात	ात_	त__	___	___	बात_	ात__	त___	____	____	बात__	ात___	त____	_____	_____	जमाने	की	हो	चुकी	0
हो	1	2	ह	हो	NULL	ो	हो	NULL	0	ह	ो	_	_	_	हो	ो_	__	__	__	हो_	ो__	___	___	___	हो__	ो___	____	____	____	हो___	ो____	_____	_____	_____	की	बात	चुकी	है	0
चुकी	0	4	च	चु	चुक	ी	की	ुकी	0	च	ु	क	ी	_	चु	ुक	की	ी_	__	चुक	ुकी	की_	ी__	___	चुकी	ुकी_	की__	ी___	____	चुकी_	ुकी__	की___	ी____	_____	बात	हो	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	हो	चुकी	NULL	NULL	0
EOL
एप्पल	0	5	ए	एप	एप्	ल	पल	्पल	0	ए	प	्	प	ल	एप	प्	्प	पल	ल_	एप्	प्प	्पल	पल_	ल__	एप्प	प्पल	्पल_	पल__	ल___	एप्पल	प्पल_	्पल__	पल___	ल____	NULL	NULL	ने	आईफोन	0
ने	1	2	न	ने	NULL	े	ने	NULL	0	न	े	_	_	_	ने	े_	__	__	__	ने_	े__	___	___	___	ने__	े___	____	____	____	ने___	े____	_____	_____	_____	NULL	एप्पल	आईफोन	5एस	0
आईफोन	0	5	आ	आई	आईफ	न	ोन	फोन	0	आ	ई	फ	ो	न	आई	ईफ	फो	ोन	न_	आईफ	ईफो	फोन	ोन_	न__	आईफो	ईफोन	फोन_	ोन__	न___	आईफोन	ईफोन_	फोन__	ोन___	न____	एप्पल	ने	5एस	के	0
5एस	0	3	5	5ए	5एस	स	एस	5एस	0	5	ए	स	_	_	5ए	एस	स_	__	__	5एस	एस_	स__	___	___	5एस_	एस__	स___	____	____	5एस__	एस___	स____	_____	_____	ने	आईफोन	के	फिंगरप्रिंट	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	आईफोन	5एस	फिंगरप्रिंट	सेंसर	0
फिंगरप्रिंट	0	11	फ	फि	फिं	ट	ंट	िंट	0	फ	ि	ं	ग	र	फि	िं	ंग	गर	रप	फिं	िंग	ंगर	गरप	रप्	फिंग	िंगर	ंगरप	गरप्	रप्र	फिंगर	िंगरप	ंगरप्	गरप्र	रप्रि	5एस	के	सेंसर	और	B_ASP
सेंसर	0	5	स	से	सें	र	सर	ंसर	1	स	े	ं	स	र	से	ें	ंस	सर	र_	सें	ेंस	ंसर	सर_	र__	सेंस	ेंसर	ंसर_	सर__	र___	सेंसर	ेंसर_	ंसर__	सर___	र____	के	फिंगरप्रिंट	और	कैमरे	I_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	फिंगरप्रिंट	सेंसर	कैमरे	पर	0
कैमरे	0	5	क	कै	कैम	े	रे	मरे	1	क	ै	म	र	े	कै	ैम	मर	रे	े_	कैम	ैमर	मरे	रे_	े__	कैमर	ैमरे	मरे_	रे__	े___	कैमरे	ैमरे_	मरे__	रे___	े____	सेंसर	और	पर	सैफाइअर	0
पर	1	2	प	पर	NULL	र	पर	NULL	0	प	र	_	_	_	पर	र_	__	__	__	पर_	र__	___	___	___	पर__	र___	____	____	____	पर___	र____	_____	_____	_____	और	कैमरे	सैफाइअर	ग्लास	0
सैफाइअर	0	7	स	सै	सैफ	र	अर	इअर	0	स	ै	फ	ा	इ	सै	ैफ	फा	ाइ	इअ	सैफ	ैफा	फाइ	ाइअ	इअर	सैफा	ैफाइ	फाइअ	ाइअर	इअर_	सैफाइ	ैफाइअ	फाइअर	ाइअर_	इअर__	कैमरे	पर	ग्लास	कोटिंग	B_ASP
ग्लास	0	5	ग	ग्	ग्ल	स	ास	लास	0	ग	्	ल	ा	स	ग्	्ल	ला	ास	स_	ग्ल	्ला	लास	ास_	स__	ग्ला	्लास	लास_	ास__	स___	ग्लास	्लास_	लास__	ास___	स____	पर	सैफाइअर	कोटिंग	का	I_ASP
कोटिंग	0	6	क	को	कोट	ग	ंग	िंग	0	क	ो	ट	ि	ं	को	ोट	टि	िं	ंग	कोट	ोटि	टिं	िंग	ंग_	कोटि	ोटिं	टिंग	िंग_	ंग__	कोटिं	ोटिंग	टिंग_	िंग__	ंग___	सैफाइअर	ग्लास	का	इस्तेमाल	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	ग्लास	कोटिंग	इस्तेमाल	किया	0
इस्तेमाल	0	8	इ	इस	इस्	ल	ाल	माल	0	इ	स	्	त	े	इस	स्	्त	ते	ेम	इस्	स्त	्ते	तेम	ेमा	इस्त	स्ते	्तेम	तेमा	ेमाल	इस्ते	स्तेम	्तेमा	तेमाल	ेमाल_	कोटिंग	का	किया	है	0
किया	1	4	क	कि	किय	ा	या	िया	0	क	ि	य	ा	_	कि	िय	या	ा_	__	किय	िया	या_	ा__	___	किया	िया_	या__	ा___	____	किया_	िया__	या___	ा____	_____	का	इस्तेमाल	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	इस्तेमाल	किया	NULL	NULL	0
EOL
विंडोज	0	6	व	वि	विं	ज	ोज	डोज	0	व	ि	ं	ड	ो	वि	िं	ंड	डो	ोज	विं	िंड	ंडो	डोज	ोज_	विंड	िंडो	ंडोज	डोज_	ोज__	विंडो	िंडोज	ंडोज_	डोज__	ोज___	NULL	NULL	फोन	8.1	0
फोन	0	3	फ	फो	फोन	न	ोन	फोन	0	फ	ो	न	_	_	फो	ोन	न_	__	__	फोन	ोन_	न__	___	___	फोन_	ोन__	न___	____	____	फोन__	ोन___	न____	_____	_____	NULL	विंडोज	8.1	यूजर्स	0
8.1	0	3	8	8.	8.1	1	.1	8.1	0	8	.	1	_	_	8.	.1	1_	__	__	8.1	.1_	1__	___	___	8.1_	.1__	1___	____	____	8.1__	.1___	1____	_____	_____	विंडोज	फोन	यूजर्स	होम	0
यूजर्स	0	6	य	यू	यूज	स	्स	र्स	0	य	ू	ज	र	्	यू	ूज	जर	र्	्स	यूज	ूजर	जर्	र्स	्स_	यूजर	ूजर्	जर्स	र्स_	्स__	यूजर्	ूजर्स	जर्स_	र्स__	्स___	फोन	8.1	होम	स्क्रीन	0
होम	0	3	ह	हो	होम	म	ोम	होम	0	ह	ो	म	_	_	हो	ोम	म_	__	__	होम	ोम_	म__	___	___	होम_	ोम__	म___	____	____	होम__	ोम___	म____	_____	_____	8.1	यूजर्स	स्क्रीन	के	0
स्क्रीन	0	7	स	स्	स्क	न	ीन	रीन	1	स	्	क	्	र	स्	्क	क्	्र	री	स्क	्क्	क्र	्री	रीन	स्क्	्क्र	क्री	्रीन	रीन_	स्क्र	्क्री	क्रीन	्रीन_	रीन__	यूजर्स	होम	के	टाइल्स	B_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	होम	स्क्रीन	टाइल्स	को	I_ASP
टाइल्स	0	6	ट	टा	टाइ	स	्स	ल्स	0	ट	ा	इ	ल	्	टा	ाइ	इल	ल्	्स	टाइ	ाइल	इल्	ल्स	्स_	टाइल	ाइल्	इल्स	ल्स_	्स__	टाइल्	ाइल्स	इल्स_	ल्स__	्स___	स्क्रीन	के	को	कस्टमाइज	I_ASP
को	1	2	क	को	NULL	ो	को	NULL	0	क	ो	_	_	_	को	ो_	__	__	__	को_	ो__	___	___	___	को__	ो___	____	____	____	को___	ो____	_____	_____	_____	के	टाइल्स	कस्टमाइज	भी	0
कस्टमाइज	0	8	क	कस	कस्	ज	इज	ाइज	0	क	स	्	ट	म	कस	स्	्ट	टम	मा	कस्	स्ट	्टम	टमा	माइ	कस्ट	स्टम	्टमा	टमाइ	माइज	कस्टम	स्टमा	्टमाइ	टमाइज	माइज_	टाइल्स	को	भी	कर	0
भी	0	2	भ	भी	NULL	ी	भी	NULL	0	भ	ी	_	_	_	भी	ी_	__	__	__	भी_	ी__	___	___	___	भी__	ी___	____	____	____	भी___	ी____	_____	_____	_____	को	कस्टमाइज	कर	सकते	0
कर	1	2	क	कर	NULL	र	कर	NULL	0	क	र	_	_	_	कर	र_	__	__	__	कर_	र__	___	___	___	कर__	र___	____	____	____	कर___	र____	_____	_____	_____	कस्टमाइज	भी	सकते	हैं	0
सकते	1	4	स	सक	सकत	े	ते	कते	0	स	क	त	े	_	सक	कत	ते	े_	__	सकत	कते	ते_	े__	___	सकते	कते_	ते__	े___	____	सकते_	कते__	ते___	े____	_____	भी	कर	हैं	ठीक	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	कर	सकते	ठीक	वैसे	0
