आपको	0	4	आ	आप	आपक	ो	को	पको	0	आ	प	क	ो	_	आप	पक	को	ो_	__	आपक	पको	को_	ो__	___	आपको	पको_	को__	ो___	____	आपको_	पको__	को___	ो____	_____	NULL	NULL	बस	एक	0
अच्छी	0	5	अ	अच	अच्	ी	छी	्छी	0	अ	च	्	छ	ी	अच	च्	्छ	छी	ी_	अच्	च्छ	्छी	छी_	ी__	अच्छ	च्छी	्छी_	छी__	ी___	अच्छी	च्छी_	्छी__	छी___	ी____	की	स्पीड	है	क्योंकि	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	स्पीड	अच्छी	क्योंकि	इसमें	0
क्योंकि	0	7	क	क्	क्य	ि	कि	ंकि	0	क	्	य	ो	ं	क्	्य	यो	ों	ंक	क्य	्यो	यों	ोंक	ंकि	क्यो	्यों	योंक	ोंकि	ंकि_	क्यों	्योंक	योंकि	ोंकि_	ंकि__	अच्छी	है	इसमें	1	0
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	है	क्योंकि	1	2	0
1	0	1	1	NULL	NULL	1	NULL	NULL	0	1	_	_	_	_	1_	__	__	__	__	1__	___	___	___	___	1___	____	____	____	____	1____	_____	_____	_____	_____	क्योंकि	इसमें	2	गीगाहर्टज	0
2	0	1	2	NULL	NULL	2	NULL	NULL	0	2	_	_	_	_	2_	__	__	__	__	2__	___	___	___	___	2___	____	____	____	____	2____	_____	_____	_____	_____	इसमें	1	गीगाहर्टज	कोरटेक्स	0
गीगाहर्टज	0	9	ग	गी	गीग	ज	टज	्टज	0	ग	ी	ग	ा	ह	गी	ीग	गा	ाह	हर	गीग	ीगा	गाह	ाहर	हर्	गीगा	ीगाह	गाहर	ाहर्	हर्ट	गीगाह	ीगाहर	गाहर्	ाहर्ट	हर्टज	1	2	कोरटेक्स	ए9	0
कोरटेक्स	0	8	क	को	कोर	स	्स	क्स	0	क	ो	र	ट	े	को	ोर	रट	टे	ेक	कोर	ोरट	रटे	टेक	ेक्	कोरट	ोरटे	रटेक	टेक्	ेक्स	कोरटे	ोरटेक	रटेक्	टेक्स	ेक्स_	2	गीगाहर्टज	ए9	श्रेणी	B_ASP
ए9	0	2	ए	ए9	NULL	9	ए9	NULL	0	ए	9	_	_	_	ए9	9_	__	__	__	ए9_	9__	___	___	___	ए9__	9___	____	____	____	ए9___	9____	_____	_____	_____	गीगाहर्टज	कोरटेक्स	श्रेणी	का	I_ASP
श्रेणी	0	6	श	श्	श्र	ी	णी	ेणी	0	श	्	र	े	ण	श्	्र	रे	ेण	णी	श्र	्रे	रेण	ेणी	णी_	श्रे	्रेण	रेणी	ेणी_	णी__	श्रेण	्रेणी	रेणी_	ेणी__	णी___	कोरटेक्स	ए9	का	प्रोसेसर	I_ASP
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	ए9	श्रेणी	प्रोसेसर	है	I_ASP
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	श्रेणी	का	है	और	I_ASP
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	का	प्रोसेसर	और	1	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	प्रोसेसर	है	1	जीबी	0
1	0	1	1	NULL	NULL	1	NULL	NULL	0	1	_	_	_	_	1_	__	__	__	__	1__	___	___	___	___	1___	____	____	____	____	1____	_____	_____	_____	_____	है	और	जीबी	रैम	0
जीबी	0	4	ज	जी	जीब	ी	बी	ीबी	0	ज	ी	ब	ी	_	जी	ीब	बी	ी_	__	जीब	ीबी	बी_	ी__	___	जीबी	ीबी_	बी__	ी___	____	जीबी_	ीबी__	बी___	ी____	_____	और	1	रैम	है	0
रैम	0	3	र	रै	रैम	म	ैम	रैम	1	र	ै	म	_	_	रै	ैम	म_	__	__	रैम	ैम_	म__	___	___	रैम_	ैम__	म___	____	____	रैम__	ैम___	म____	_____	_____	1	जीबी	है	NULL	B_ASP
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	जीबी	रैम	NULL	NULL	0
EOL
हलांकि	0	6	ह	हल	हला	ि	कि	ंकि	0	ह	ल	ा	ं	क	हल	ला	ां	ंक	कि	हला	लां	ांक	ंकि	कि_	हलां	लांक	ांकि	ंकि_	कि__	हलांक	लांकि	ांकि_	ंकि__	कि___	NULL	NULL	इसे	एक	0
इसे	1	3	इ	इस	इसे	े	से	इसे	0	इ	स	े	_	_	इस	से	े_	__	__	इसे	से_	े__	___	___	इसे_	से__	े___	____	____	इसे__	से___	े____	_____	_____	NULL	हलांकि	एक	हाथ	0
एक	1	2	ए	एक	NULL	क	एक	NULL	0	ए	क	_	_	_	एक	क_	__	__	__	एक_	क__	___	___	___	एक__	क___	____	____	____	एक___	क____	_____	_____	_____	हलांकि	इसे	हाथ	से	B_ASP
हाथ	0	3	ह	हा	हाथ	थ	ाथ	हाथ	0	ह	ा	थ	_	_	हा	ाथ	थ_	__	__	हाथ	ाथ_	थ__	___	___	हाथ_	ाथ__	थ___	____	____	हाथ__	ाथ___	थ____	_____	_____	इसे	एक	से	इस्तेमाल	I_ASP
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	एक	हाथ	इस्तेमाल	करना	I_ASP
इस्तेमाल	0	8	इ	इस	इस्	ल	ाल	माल	0	इ	स	्	त	े	इस	स्	्त	ते	ेम	इस्	स्त	्ते	तेम	ेमा	इस्त	स्ते	्तेम	तेमा	ेमाल	इस्ते	स्तेम	्तेमा	तेमाल	ेमाल_	हाथ	से	करना	संभव	I_ASP
करना	1	4	क	कर	करन	ा	ना	रना	0	क	र	न	ा	_	कर	रन	ना	ा_	__	करन	रना	ना_	ा__	___	करना	रना_	ना__	ा___	____	करना_	रना__	ना___	ा____	_____	से	इस्तेमाल	संभव	नहीं	0
संभव	0	4	स	सं	संभ	व	भव	ंभव	0	स	ं	भ	व	_	सं	ंभ	भव	व_	__	संभ	ंभव	भव_	व__	___	संभव	ंभव_	भव__	व___	____	संभव_	ंभव__	भव___	व____	_____	इस्तेमाल	करना	नहीं	है	0
नहीं	1	4	न	नह	नही	ं	ीं	हीं	0	न	ह	ी	ं	_	नह	ही	ीं	ं_	__	नही	हीं	ीं_	ं__	___	नहीं	हीं_	ीं__	ं___	____	नहीं_	हीं__	ीं___	ं____	_____	करना	संभव	है	लेकिन	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	संभव	नहीं	लेकिन	सिर्फ	0
लेकिन	0	5	ल	ले	लेक	न	िन	किन	0	ल	े	क	ि	न	ले	ेक	कि	िन	न_	लेक	ेकि	किन	िन_	न__	लेकि	ेकिन	किन_	िन__	न___	लेकिन	ेकिन_	किन__	िन___	न____	नहीं	है	सिर्फ	340	0
सिर्फ	0	5	स	सि	सिर	फ	्फ	र्फ	0	स	ि	र	्	फ	सि	िर	र्	्फ	फ_	सिर	िर्	र्फ	्फ_	फ__	सिर्	िर्फ	र्फ_	्फ__	फ___	सिर्फ	िर्फ_	र्फ__	्फ___	फ____	है	लेकिन	340	ग्राम	0
340	0	3	3	34	340	0	40	340	0	3	4	0	_	_	34	40	0_	__	__	340	40_	0__	___	___	340_	40__	0___	____	____	340__	40___	0____	_____	_____	लेकिन	सिर्फ	ग्राम	वज़न	0
ग्राम	0	5	ग	ग्	ग्र	म	ाम	राम	0	ग	्	र	ा	म	ग्	्र	रा	ाम	म_	ग्र	्रा	राम	ाम_	म__	ग्रा	्राम	राम_	ाम__	म___	ग्राम	्राम_	राम__	ाम___	म____	सिर्फ	340	वज़न	होने	0
वज़न	0	3	व	वज़	वज़न	न	ज़न	वज़न	1	व	ज़	न	_	_	वज़	ज़न	न_	__	__	वज़न	ज़न_	न__	___	___	वज़न_	ज़न__	न___	____	____	वज़न__	ज़न___	न____	_____	_____	340	ग्राम	होने	के	B_ASP
होने	1	4	ह	हो	होन	े	ने	ोने	0	ह	ो	न	े	_	हो	ोन	ने	े_	__	होन	ोने	ने_	े__	___	होने	ोने_	ने__	े___	____	होने_	ोने__	ने___	े____	_____	ग्राम	वज़न	के	कारण	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	वज़न	होने	कारण	इसे	0
कारण	0	4	क	का	कार	ण	रण	ारण	0	क	ा	र	ण	_	का	ार	रण	ण_	__	कार	ारण	रण_	ण__	___	कारण	ारण_	रण__	ण___	____	कारण_	ारण__	रण___	ण____	_____	होने	के	इसे	आप	0
इसे	1	3	इ	इस	इसे	े	से	इसे	0	इ	स	े	_	_	इस	से	े_	__	__	इसे	से_	े__	___	___	इसे_	से__	े___	____	____	इसे__	से___	े____	_____	_____	के	कारण	आप	काफी	0
आप	1	2	आ	आप	NULL	प	आप	NULL	0	आ	प	_	_	_	आप	प_	__	__	__	आप_	प__	___	___	___	आप__	प___	____	____	____	आप___	प____	_____	_____	_____	कारण	इसे	काफी	देर	0
काफी	0	4	क	का	काफ	ी	फी	ाफी	0	क	ा	फ	ी	_	का	ाफ	फी	ी_	__	काफ	ाफी	फी_	ी__	___	काफी	ाफी_	फी__	ी___	____	काफी_	ाफी__	फी___	ी____	_____	इसे	आप	देर	तक	0
देर	0	3	द	दे	देर	र	ेर	देर	0	द	े	र	_	_	दे	ेर	र_	__	__	देर	ेर_	र__	___	___	देर_	ेर__	र___	____	____	देर__	ेर___	र____	_____	_____	आप	काफी	तक	एक	0
तक	1	2	त	तक	NULL	क	तक	NULL	0	त	क	_	_	_	तक	क_	__	__	__	तक_	क__	___	___	___	तक__	क___	____	____	____	तक___	क____	_____	_____	_____	काफी	देर	एक	हाथ	0
एक	1	2	ए	एक	NULL	क	एक	NULL	0	ए	क	_	_	_	एक	क_	__	__	__	एक_	क__	___	___	___	एक__	क___	____	____	____	एक___	क____	_____	_____	_____	देर	तक	हाथ	में	B_ASP
हाथ	0	3	ह	हा	हाथ	थ	ाथ	हाथ	0	ह	ा	थ	_	_	हा	ाथ	थ_	__	__	हाथ	ाथ_	थ__	___	___	हाथ_	ाथ__	थ___	____	____	हाथ__	ाथ___	थ____	_____	_____	तक	एक	में	पकड़	I_ASP
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	एक	हाथ	पकड़	सकते	0
पकड़	0	3	प	पक	पकड़	ड़	कड़	पकड़	0	प	क	ड़	_	_	पक	कड़	ड़_	__	__	पकड़	कड़_	ड़__	___	___	पकड़_	कड़__	ड़___	____	____	पकड़__	कड़___	ड़____	_____	_____	हाथ	में	सकते	है	0
सकते	1	4	स	सक	सकत	े	ते	कते	0	स	क	त	े	_	सक	कत	ते	े_	__	सकत	कते	ते_	े__	___	सकते	कते_	ते__	े___	____	सकते_	कते__	ते___	े____	_____	में	पकड़	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	पकड़	सकते	NULL	NULL	0
EOL
इसके	1	4	इ	इस	इसक	े	के	सके	0	इ	स	क	े	_	इस	सक	के	े_	__	इसक	सके	के_	े__	___	इसके	सके_	के__	े___	____	इसके_	सके__	के___	े____	_____	NULL	NULL	आईपीएस	डिस्प्ले	0
आईपीएस	0	6	आ	आई	आईप	स	एस	ीएस	0	आ	ई	प	ी	ए	आई	ईप	पी	ीए	एस	आईप	ईपी	पीए	ीएस	एस_	आईपी	ईपीए	पीएस	ीएस_	एस__	आईपीए	ईपीएस	पीएस_	ीएस__	एस___	NULL	इसके	डिस्प्ले	में	B_ASP
डिस्प्ले	0	8	ड	डि	डिस	े	ले	्ले	1	ड	ि	स	्	प	डि	िस	स्	्प	प्	डिस	िस्	स्प	्प्	प्ल	डिस्	िस्प	स्प्	्प्ल	प्ले	डिस्प	िस्प्	स्प्ल	्प्ले	प्ले_	इसके	आईपीएस	में	देखने	I_ASP
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	आईपीएस	डिस्प्ले	देखने	का	I_ASP
देखने	0	5	द	दे	देख	े	ने	खने	1	द	े	ख	न	े	दे	ेख	खन	ने	े_	देख	ेखन	खने	ने_	े__	देखन	ेखने	खने_	ने__	े___	देखने	ेखने_	खने__	ने___	े____	डिस्प्ले	में	का	एंगल	I_ASP
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	में	देखने	एंगल	बहुत	I_ASP
एंगल	0	4	ए	एं	एंग	ल	गल	ंगल	1	ए	ं	ग	ल	_	एं	ंग	गल	ल_	__	एंग	ंगल	गल_	ल__	___	एंगल	ंगल_	गल__	ल___	____	एंगल_	ंगल__	गल___	ल____	_____	देखने	का	बहुत	अच्छा	I_ASP
बहुत	1	4	ब	बह	बहु	त	ुत	हुत	0	ब	ह	ु	त	_	बह	हु	ुत	त_	__	बहु	हुत	ुत_	त__	___	बहुत	हुत_	ुत__	त___	____	बहुत_	हुत__	ुत___	त____	_____	का	एंगल	अच्छा	है	0
अच्छा	0	5	अ	अच	अच्	ा	छा	्छा	0	अ	च	्	छ	ा	अच	च्	्छ	छा	ा_	अच्	च्छ	्छा	छा_	ा__	अच्छ	च्छा	्छा_	छा__	ा___	अच्छा	च्छा_	्छा__	छा___	ा____	एंगल	बहुत	है	लेकिन	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	बहुत	अच्छा	लेकिन	इसमें	0
लेकिन	0	5	ल	ले	लेक	न	िन	किन	0	ल	े	क	ि	न	ले	ेक	कि	िन	न_	लेक	ेकि	किन	िन_	न__	लेकि	ेकिन	किन_	िन__	न___	लेकिन	ेकिन_	किन__	िन___	न____	अच्छा	है	इसमें	कमी	0
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	है	लेकिन	कमी	यह	0
कमी	0	3	क	कम	कमी	ी	मी	कमी	0	क	म	ी	_	_	कम	मी	ी_	__	__	कमी	मी_	ी__	___	___	कमी_	मी__	ी___	____	____	कमी__	मी___	ी____	_____	_____	लेकिन	इसमें	यह	है	0
यह	1	2	य	यह	NULL	ह	यह	NULL	0	य	ह	_	_	_	यह	ह_	__	__	__	यह_	ह__	___	___	___	यह__	ह___	____	____	____	यह___	ह____	_____	_____	_____	इसमें	कमी	है	कि	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	कमी	यह	कि	यह	0
कि	1	2	क	कि	NULL	ि	कि	NULL	0	क	ि	_	_	_	कि	ि_	__	__	__	कि_	ि__	___	___	___	कि__	ि___	____	____	____	कि___	ि____	_____	_____	_____	यह	है	यह	पैनल	0
यह	1	2	य	यह	NULL	ह	यह	NULL	0	य	ह	_	_	_	यह	ह_	__	__	__	यह_	ह__	___	___	___	यह__	ह___	____	____	____	यह___	ह____	_____	_____	_____	है	कि	पैनल	काफी	0
पैनल	0	4	प	पै	पैन	ल	नल	ैनल	1	प	ै	न	ल	_	पै	ैन	नल	ल_	__	पैन	ैनल	नल_	ल__	___	पैनल	ैनल_	नल__	ल___	____	पैनल_	ैनल__	नल___	ल____	_____	कि	यह	काफी	रिफ्लेक्टिव	B_ASP
काफी	0	4	क	का	काफ	ी	फी	ाफी	0	क	ा	फ	ी	_	का	ाफ	फी	ी_	__	काफ	ाफी	फी_	ी__	___	काफी	ाफी_	फी__	ी___	____	काफी_	ाफी__	फी___	ी____	_____	यह	पैनल	रिफ्लेक्टिव	है	0
रिफ्लेक्टिव	0	11	र	रि	रिफ	व	िव	टिव	0	र	ि	फ	्	ल	रि	िफ	फ्	्ल	ले	रिफ	िफ्	फ्ल	्ले	लेक	रिफ्	िफ्ल	फ्ले	्लेक	लेक्	रिफ्ल	िफ्ले	फ्लेक	्लेक्	लेक्ट	पैनल	काफी	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	काफी	रिफ्लेक्टिव	NULL	NULL	0
EOL
इस	1	2	इ	इस	NULL	स	इस	NULL	0	इ	स	_	_	_	इस	स_	__	__	__	इस_	स__	___	___	___	इस__	स___	____	____	____	इस___	स____	_____	_____	_____	NULL	NULL	टेबलेट	की	0
टेबलेट	0	6	ट	टे	टेब	ट	ेट	लेट	0	ट	े	ब	ल	े	टे	ेब	बल	ले	ेट	टेब	ेबल	बले	लेट	ेट_	टेबल	ेबले	बलेट	लेट_	ेट__	टेबले	ेबलेट	बलेट_	लेट__	ेट___	NULL	इस	की	कॉल	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	इस	टेबलेट	कॉल	करने	0
कॉल	0	3	क	कॉ	कॉल	ल	ॉल	कॉल	0	क	ॉ	ल	_	_	कॉ	ॉल	ल_	__	__	कॉल	ॉल_	ल__	___	___	कॉल_	ॉल__	ल___	____	____	कॉल__	ॉल___	ल____	_____	_____	टेबलेट	की	करने	की	B_ASP
करने	1	4	क	कर	करन	े	ने	रने	0	क	र	न	े	_	कर	रन	ने	े_	__	करन	रने	ने_	े__	___	करने	रने_	ने__	े___	____	करने_	रने__	ने___	े____	_____	की	कॉल	की	क्षमता	I_ASP
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	कॉल	करने	क्षमता	अच्छी	I_ASP
क्षमता	0	6	क	क्	क्ष	ा	ता	मता	1	क	्	ष	म	त	क्	्ष	षम	मत	ता	क्ष	्षम	षमत	मता	ता_	क्षम	्षमत	षमता	मता_	ता__	क्षमत	्षमता	षमता_	मता__	ता___	करने	की	अच्छी	है	I_ASP
अच्छी	0	5	अ	अच	अच्	ी	छी	्छी	0	अ	च	्	छ	ी	अच	च्	्छ	छी	ी_	अच्	च्छ	्छी	छी_	ी__	अच्छ	च्छी	्छी_	छी__	ी___	अच्छी	च्छी_	्छी__	छी___	ी____	की	क्षमता	है	और	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	क्षमता	अच्छी	और	इसकी	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	अच्छी	है	इसकी	आवाज़	0
इसकी	1	4	इ	इस	इसक	ी	की	सकी	0	इ	स	क	ी	_	इस	सक	की	ी_	__	इसक	सकी	की_	ी__	___	इसकी	सकी_	की__	ी___	____	इसकी_	सकी__	की___	ी____	_____	है	और	आवाज़	की	0
आवाज़	0	4	आ	आव	आवा	ज़	ाज़	वाज़	0	आ	व	ा	ज़	_	आव	वा	ाज़	ज़_	__	आवा	वाज़	ाज़_	ज़__	___	आवाज़	वाज़_	ाज़__	ज़___	____	आवाज़_	वाज़__	ाज़___	ज़____	_____	और	इसकी	की	क्वालिटी	B_ASP
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	इसकी	आवाज़	क्वालिटी	भी	I_ASP
क्वालिटी	0	8	क	क्	क्व	ी	टी	िटी	1	क	्	व	ा	ल	क्	्व	वा	ाल	लि	क्व	्वा	वाल	ालि	लिट	क्वा	्वाल	वालि	ालिट	लिटी	क्वाल	्वालि	वालिट	ालिटी	लिटी_	आवाज़	की	भी	बढ़िया	I_ASP
भी	0	2	भ	भी	NULL	ी	भी	NULL	0	भ	ी	_	_	_	भी	ी_	__	__	__	भी_	ी__	___	___	___	भी__	ी___	____	____	____	भी___	ी____	_____	_____	_____	की	क्वालिटी	बढ़िया	है	0
बढ़िया	0	5	ब	बढ़	बढ़ि	ा	या	िया	0	ब	ढ़	ि	य	ा	बढ़	ढ़ि	िय	या	ा_	बढ़ि	ढ़िय	िया	या_	ा__	बढ़िय	ढ़िया	िया_	या__	ा___	बढ़िया	ढ़िया_	िया__	या___	ा____	क्वालिटी	भी	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	भी	बढ़िया	NULL	NULL	0
EOL
नेक्सस	0	6	न	ने	नेक	स	सस	्सस	0	न	े	क	्	स	ने	ेक	क्	्स	सस	नेक	ेक्	क्स	्सस	सस_	नेक्	ेक्स	क्सस	्सस_	सस__	नेक्स	ेक्सस	क्सस_	्सस__	सस___	NULL	NULL	7	में	0
7	0	1	7	NULL	NULL	7	NULL	NULL	0	7	_	_	_	_	7_	__	__	__	__	7__	___	___	___	___	7___	____	____	____	____	7____	_____	_____	_____	_____	NULL	नेक्सस	में	1.5	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	नेक्सस	7	1.5	गीगाहर्ट्ज़	0
1.5	0	3	1	1.	1.5	5	.5	1.5	0	1	.	5	_	_	1.	.5	5_	__	__	1.5	.5_	5__	___	___	1.5_	.5__	5___	____	____	1.5__	.5___	5____	_____	_____	7	में	गीगाहर्ट्ज़	क्वालकॉम	0
गीगाहर्ट्ज़	0	11	ग	गी	गीग	़	ज़	्ज़	0	ग	ी	ग	ा	ह	गी	ीग	गा	ाह	हर	गीग	ीगा	गाह	ाहर	हर्	गीगा	ीगाह	गाहर	ाहर्	हर्ट	गीगाह	ीगाहर	गाहर्	ाहर्ट	हर्ट्	में	1.5	क्वालकॉम	स्नैपड्रैगन	0
क्वालकॉम	0	8	क	क्	क्व	म	ॉम	कॉम	0	क	्	व	ा	ल	क्	्व	वा	ाल	लक	क्व	्वा	वाल	ालक	लकॉ	क्वा	्वाल	वालक	ालकॉ	लकॉम	क्वाल	्वालक	वालकॉ	ालकॉम	लकॉम_	1.5	गीगाहर्ट्ज़	स्नैपड्रैगन	एस4	0
स्नैपड्रैगन	0	11	स	स्	स्न	न	गन	ैगन	0	स	्	न	ै	प	स्	्न	नै	ैप	पड	स्न	्नै	नैप	ैपड	पड्	स्नै	्नैप	नैपड	ैपड्	पड्र	स्नैप	्नैपड	नैपड्	ैपड्र	पड्रै	गीगाहर्ट्ज़	क्वालकॉम	एस4	प्रो	0
एस4	0	3	ए	एस	एस4	4	स4	एस4	0	ए	स	4	_	_	एस	स4	4_	__	__	एस4	स4_	4__	___	___	एस4_	स4__	4___	____	____	एस4__	स4___	4____	_____	_____	क्वालकॉम	स्नैपड्रैगन	प्रो	क्रेट	0
प्रो	0	4	प	प्	प्र	ो	रो	्रो	0	प	्	र	ो	_	प्	्र	रो	ो_	__	प्र	्रो	रो_	ो__	___	प्रो	्रो_	रो__	ो___	____	प्रो_	्रो__	रो___	ो____	_____	स्नैपड्रैगन	एस4	क्रेट	क्वाड	0
क्रेट	0	5	क	क्	क्र	ट	ेट	रेट	0	क	्	र	े	ट	क्	्र	रे	ेट	ट_	क्र	्रे	रेट	ेट_	ट__	क्रे	्रेट	रेट_	ेट__	ट___	क्रेट	्रेट_	रेट__	ेट___	ट____	एस4	प्रो	क्वाड	कोर	0
क्वाड	0	5	क	क्	क्व	ड	ाड	वाड	0	क	्	व	ा	ड	क्	्व	वा	ाड	ड_	क्व	्वा	वाड	ाड_	ड__	क्वा	्वाड	वाड_	ाड__	ड___	क्वाड	्वाड_	वाड__	ाड___	ड____	प्रो	क्रेट	कोर	प्रोसेसर	B_ASP
कोर	0	3	क	को	कोर	र	ोर	कोर	0	क	ो	र	_	_	को	ोर	र_	__	__	कोर	ोर_	र__	___	___	कोर_	ोर__	र___	____	____	कोर__	ोर___	र____	_____	_____	क्रेट	क्वाड	प्रोसेसर	के	I_ASP
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	क्वाड	कोर	के	साथ	I_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	कोर	प्रोसेसर	साथ	एड्रीनो	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	प्रोसेसर	के	एड्रीनो	320	0
एड्रीनो	0	7	ए	एड	एड्	ो	नो	ीनो	0	ए	ड	्	र	ी	एड	ड्	्र	री	ीन	एड्	ड्र	्री	रीन	ीनो	एड्र	ड्री	्रीन	रीनो	ीनो_	एड्री	ड्रीन	्रीनो	रीनो_	ीनो__	के	साथ	320	जीपीयू	B_ASP
320	0	3	3	32	320	0	20	320	0	3	2	0	_	_	32	20	0_	__	__	320	20_	0__	___	___	320_	20__	0___	____	____	320__	20___	0____	_____	_____	साथ	एड्रीनो	जीपीयू	और	I_ASP
जीपीयू	0	6	ज	जी	जीप	ू	यू	ीयू	1	ज	ी	प	ी	य	जी	ीप	पी	ीय	यू	जीप	ीपी	पीय	ीयू	यू_	जीपी	ीपीय	पीयू	ीयू_	यू__	जीपीय	ीपीयू	पीयू_	ीयू__	यू___	एड्रीनो	320	और	2	I_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	320	जीपीयू	2	जीबी	0
