बुध	ुधव	धवा	वार	ार_	
हैं	ैं_	ं__	___	___	
तो_	ो__	___	___	___	
एक_	क__	___	___	___	
टच_	च__	___	___	___	
से_	े__	___	___	___	
उस_	स__	___	___	___	
स्‍	्‍क	‍क्	क्र	्री	
को_	ो__	___	___	___	
दीव	ीवा	वार	ार_	र__	
पर_	र__	___	___	___	
प्र	्रो	रोज	ोजे	जेक	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

लेन	ेनो	नोव	ोवो	वो_	
ने_	े__	___	___	___	
एक_	क__	___	___	___	
स्‍	्‍म	‍मा	मार	ार्	
लां	ांच	ंच_	च__	___	
की_	ी__	___	___	___	
है_	ै__	___	___	___	
जिस	िसम	समे	में	ें_	
डबल	बल_	ल__	___	___	
स्‍	्‍क	‍क्	क्र	्री	
है_	ै__	___	___	___	
जिस	िसस	ससे	से_	े__	
वह_	ह__	___	___	___	
अन्	न्‍	्‍य	‍य_	य__	
स्‍	्‍म	‍मा	मार	ार्	
की_	ी__	___	___	___	
तुल	ुलन	लना	ना_	ा__	
में	ें_	ं__	___	___	
यूज	ूजर	जर्	र्स	्स_	
को_	ो__	___	___	___	
ज्‍	्‍य	‍या	याद	ादा	
आउट	उटप	टपु	पुट	ुट_	
देन	ेने	ने_	े__	___	
में	ें_	ं__	___	___	
सक्	क्ष	्षम	षम_	म__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इस_	स__	___	___	___	
वॉच	ॉच_	च__	___	___	
में	ें_	ं__	___	___	
वीड	ीडि	डिय	ियो	योज	
भी_	ी__	___	___	___	
आसा	सान	ानी	नी_	ी__	
से_	े__	___	___	___	
देख	ेखे	खे_	े__	___	
जा_	ा__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यही	ही_	ी__	___	___	
नही	हीं	ीं_	ं__	___	
वॉच	ॉच_	च__	___	___	
की_	ी__	___	___	___	
दूस	ूसर	सरी	री_	ी__	
स्‍	्‍क	‍क्	क्र	्री	
वर्	र्च	्चु	चुअ	ुअल	
रिय	ियल	यलि	लिट	िटी	
का_	ा__	___	___	___	
अनु	नुभ	ुभव	भव_	व__	
देत	ेती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

गर_	र__	___	___	___	
आप_	प__	___	___	___	
'__	___	___	___	___	
एप्	प्‍	्‍प	‍पल	पल_	
वॉच	ॉच_	च__	___	___	
'__	___	___	___	___	
के_	े__	___	___	___	
इन्	न्‍	्‍न	‍नो	नोव	
इंट	ंटर	टरफ	रफे	फेस	
और_	र__	___	___	___	
स्‍	्‍प	‍पे	पेश	ेशल	
फीच	ीचर	चर्	र्स	्स_	
के_	े__	___	___	___	
बार	ारे	रे_	े__	___	
में	ें_	ं__	___	___	
जान	ानन	नना	ना_	ा__	
चाह	ाहत	हते	ते_	े__	
हैं	ैं_	ं__	___	___	
तो_	ो__	___	___	___	
आप_	प__	___	___	___	
यह_	ह__	___	___	___	
जान	ान_	न__	___	___	
लें	ें_	ं__	___	___	
कि_	ि__	___	___	___	
यह_	ह__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
आपक	पको	को_	ो__	___	
कई_	ई__	___	___	___	
खास	ास_	स__	___	___	
फीच	ीचर	चर्	र्स	्स_	
देग	ेगी	गी_	ी__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

क्‍	्‍य	‍यो	यों	ोंक	
यह_	ह__	___	___	___	
एक_	क__	___	___	___	
नए_	ए__	___	___	___	
तरह	रह_	ह__	___	___	
की_	ी__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इस_	स__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
को_	ो__	___	___	___	
समझ	मझन	झने	ने_	े__	
में	ें_	ं__	___	___	
आपक	पको	को_	ो__	___	
थोड	ोड़	ड़ी	़ी_	ी__	
मेह	ेहन	हनत	नत_	त__	
करन	रनी	नी_	ी__	___	
पड़	ड़_	़__	___	___	
सकत	कती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

हाल	ाला	लां	ांक	ंकि	
एप्	प्‍	्‍प	‍पल	पल_	
ने_	े__	___	___	___	
जल्	ल्‍	्‍द	‍द_	द__	
ही_	ी__	___	___	___	
सॉफ	ॉफ्	फ्ट	्टव	टवे	
अपग	पग्	ग्र	्रे	रेड	
देन	ेने	ने_	े__	___	
का_	ा__	___	___	___	
वाय	ायद	यदा	दा_	ा__	
किय	िया	या_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

अगर	गर_	र__	___	___	
डिज	िजा	जाइ	ाइन	इन_	
की_	ी__	___	___	___	
बात	ात_	त__	___	___	
करे	रें	ें_	ं__	___	
तो_	ो__	___	___	___	
यह_	ह__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
आपक	पको	को_	ो__	___	
थोड	ोड़	ड़ी	़ी_	ी__	
भार	ारी	री_	ी__	___	
प्र	्रत	रती	तीत	ीत_	
हो_	ो__	___	___	___	
सकत	कती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

स्‍	्‍क	‍क्	क्र	्रॉ	
करन	रने	ने_	े__	___	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
डिव	िवा	वाइ	ाइस	इस_	
के_	े__	___	___	___	
साइ	ाइड	इड_	ड__	___	
में	ें_	ं__	___	___	
एक_	क__	___	___	___	
नॉब	ॉब_	ब__	___	___	
दिय	िया	या_	ा__	___	
गया	या_	ा__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

एक_	क__	___	___	___	
घड़	ड़ी	़ी_	ी__	___	
के_	े__	___	___	___	
लिह	िहा	हाज	ाज_	ज__	
से_	े__	___	___	___	
देख	ेखा	खा_	ा__	___	
जाए	ाए_	ए__	___	___	
तो_	ो__	___	___	___	
इस_	स__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
की_	ी__	___	___	___	
डिज	िजा	जाइ	ाइन	इन_	
काफ	ाफी	फी_	ी__	___	
अच्	च्‍	्‍छ	‍छी	छी_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

एप्	प्‍	्‍प	‍पल	पल_	
ने_	े__	___	___	___	
इस_	स__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
में	ें_	ं__	___	___	
अपन	पनी	नी_	ी__	___	
'__	___	___	___	___	
सीर	ीरी	री_	ी__	___	
टेक	ेक्	क्‍	्‍न	‍नो	
'__	___	___	___	___	
को_	ो__	___	___	___	
मुख	ुख्	ख्‍	्‍य	‍यत	
से_	े__	___	___	___	
यूज	ूज_	ज__	___	___	
किय	िया	या_	ा__	___	
है_	ै__	___	___	___	
क्‍	्‍य	‍यो	यों	ोंक	
आप_	प__	___	___	___	
इस_	स__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
में	ें_	ं__	___	___	
टाइ	ाइप	इप_	प__	___	
नही	हीं	ीं_	ं__	___	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ऐसे	से_	े__	___	___	
में	ें_	ं__	___	___	
आपक	पको	को_	ो__	___	
जो_	ो__	___	___	___	
भी_	ी__	___	___	___	
नोट	ोटी	टीफ	ीफि	फिक	
देन	ेने	ने_	े__	___	
हों	ोंग	ंगे	गे_	े__	
वह_	ह__	___	___	___	
सभी	भी_	ी__	___	___	
नोट	ोटि	टिफ	िफि	फिक	
आपक	पको	को_	ो__	___	
बोल	ोलक	लकर	कर_	र__	
देन	ेने	ने_	े__	___	
हों	ोंग	ंगे	गे_	े__	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसक	सके	के_	े__	___	
अला	लाव	ावा	वा_	ा__	
वॉच	ॉच_	च__	___	___	
के_	े__	___	___	___	
फीच	ीचर	चर्	र्स	्स_	
को_	ो__	___	___	___	
यूज	ूज_	ज__	___	___	
करन	रने	ने_	े__	___	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
आपक	पको	को_	ो__	___	
सिर	िर्	र्फ	्फ_	फ__	
अपन	पनी	नी_	ी__	___	
डिव	िवा	वाइ	ाइस	इस_	
की_	ी__	___	___	___	
स्‍	्‍क	‍क्	क्र	्री	
को_	ो__	___	___	___	
थोड	ोड़	ड़_	़__	___	
जोर	ोर_	र__	___	___	
से_	े__	___	___	___	
प्र	्रे	रेस	ेस_	स__	
करन	रना	ना_	ा__	___	
होग	ोगा	गा_	ा__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

थोड	ोड़	ड़ी	़ी_	ी__	
तो_	ो__	___	___	___	
कन्	न्‍	्‍फ	‍फ्	फ्य	
है_	ै__	___	___	___	
एप्	प्प	्पल	पल_	ल__	
वॉच	ॉच_	च__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

अगर	गर_	र__	___	___	
एप्	प्‍	्‍प	‍पल	पल_	
वॉच	ॉच_	च__	___	___	
के_	े__	___	___	___	
इंट	ंटर	टरफ	रफे	फेस	
की_	ी__	___	___	___	
बात	ात_	त__	___	___	
की_	ी__	___	___	___	
जाए	ाए_	ए__	___	___	
तो_	ो__	___	___	___	
यह_	ह__	___	___	___	
बात	ात_	त__	___	___	
सभी	भी_	ी__	___	___	
टेक	ेक_	क__	___	___	
एक्	क्‍	्‍स	‍सप	सपर	
ने_	े__	___	___	___	
मान	ानी	नी_	ी__	___	
है_	ै__	___	___	___	
कि_	ि__	___	___	___	
पहल	हले	ले_	े__	___	
-JO	JOI	OIN	IN_	N__	
पहल	हल_	ल__	___	___	
यह_	ह__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
आपक	पको	को_	ो__	___	
बहु	हुत	ुत_	त__	___	
कन्	न्‍	्‍फ	‍फ्	फ्य	
लग_	ग__	___	___	___	
सकत	कती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

लेक	ेकि	किन	िन_	न__	
जब_	ब__	___	___	___	
तीन	ीन_	न__	___	___	
-JO	JOI	OIN	IN_	N__	
चार	ार_	र__	___	___	
दिन	िनो	नों	ों_	ं__	
तक_	क__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
के_	े__	___	___	___	
फीच	ीचर	चर्	र्स	्स_	
को_	ो__	___	___	___	
यूज	ूज_	ज__	___	___	
करन	रने	ने_	े__	___	
की_	ी__	___	___	___	
कोश	ोशि	शिश	िश_	श__	
करे	रें	ेंग	ंगे	गे_	
तब_	ब__	___	___	___	
आपक	पको	को_	ो__	___	
इस_	स__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
की_	ी__	___	___	___	
खास	ासि	सिय	ियत	यत_	
समझ	मझ_	झ__	___	___	
आना	ना_	ा__	___	___	
शुर	ुरु	रु_	ु__	___	
होग	ोगी	गी_	ी__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

दरअ	रअस	असल	सल_	ल__	
यह_	ह__	___	___	___	
एप_	प__	___	___	___	
पर्	र्स	्सन	सनल	नल_	
यूस	ूसे	सेज	ेज_	ज__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
डिज	िजा	जाइ	ाइन	इन_	
की_	ी__	___	___	___	
गई_	ई__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसल	सलि	लिए	िए_	ए__	
आपक	पको	को_	ो__	___	
इस_	स__	___	___	___	
डिव	िवा	वाइ	ाइस	इस_	
के_	े__	___	___	___	
फीच	ीचर	चर्	र्स	्स_	
को_	ो__	___	___	___	
अपन	पने	ने_	े__	___	
व्‍	्‍य	‍यक	यक्	क्त	
यूस	ूसे	सेज	ेज_	ज__	
के_	े__	___	___	___	
हिस	िसा	साब	ाब_	ब__	
से_	े__	___	___	___	
सेट	ेट_	ट__	___	___	
करन	रना	ना_	ा__	___	
होग	ोगा	गा_	ा__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

एलस	लसी	सीड	ीडी	डी_	
स्क	्क्	क्र	्री	रीन	
,__	___	___	___	___	
एंड	ंड्	ड्र	्रा	राय	
वीय	ीयर	यर_	र__	___	
,__	___	___	___	___	
320	20_	0__	___	___	
मिल	िली	ली_	ी__	___	
एंप	ंपि	पिय	ियर	यर_	
ऑवर	वर_	र__	___	___	
,__	___	___	___	___	
पैड	ैडो	डोम	ोमी	मीट	
,__	___	___	___	___	
हर्	र्ट	्ट_	ट__	___	
-JO	JOI	OIN	IN_	N__	
रेट	ेट_	ट__	___	___	
मॉन	ॉनि	निट	िटर	टर_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

वाट	ाटर	टर_	र__	___	
रस्	स्स	्सि	सिट	िटे	
आईप	ईपी	पी_	ी__	___	
67_	7__	___	___	___	
(__	___	___	___	___	
30_	0__	___	___	___	
मिन	िनट	नट_	ट__	___	
तक_	क__	___	___	___	
एक_	क__	___	___	___	
मीट	ीटर	टर_	र__	___	
गहर	हरे	रे_	े__	___	
पान	ानी	नी_	ी__	___	
में	ें_	ं__	___	___	
रखा	खा_	ा__	___	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
)__	___	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

सरक	रकु	कुल	ुलर	लर_	
डिस	िस्	स्प	्पल	पले	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कीम	ीमत	मत_	त__	___	
199	99_	9__	___	___	
डॉल	ॉलर	लर_	र__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

मोट	ोटो	टो_	ो__	___	
360	60_	0__	___	___	
बेह	ेहत	हतर	तरी	रीन	
स्म	्मा	मार	ार्	र्ट	
है_	ै__	___	___	___	
,__	___	___	___	___	
लेक	ेकि	किन	िन_	न__	
इसक	सका	का_	ा__	___	
हार	ार्	र्ड	्ड_	ड__	
वेय	ेयर	यर_	र__	___	
उतन	तना	ना_	ा__	___	
उम्	म्द	्दा	दा_	ा__	
नही	हीं	ीं_	ं__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बैट	ैटर	टरी	री_	ी__	
लाइ	ाइफ	इफ़	फ़_	़__	
भी_	ी__	___	___	___	
बेह	ेहत	हतर	तर_	र__	
नही	हीं	ीं_	ं__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ओएल	एलई	लईड	ईडी	डी_	
स्क	्क्	क्र	्री	रीन	
,__	___	___	___	___	
एंड	ंड्	ड्र	्रा	राय	
वीय	ीयर	यर_	र__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

410	10_	0__	___	___	
मिल	िली	ली_	ी__	___	
एंप	ंपि	पिय	ियर	यर_	
ऑवर	वर_	र__	___	___	
बैट	ैटर	टरी	री_	ी__	
क्ष	्षम	षमत	मता	ता_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बैर	ैरो	रोम	ोमी	मीट	
,__	___	___	___	___	
गेय	ेयर	यरो	रोस	ोस्	
,__	___	___	___	___	
कंप	ंपा	पास	ास_	स__	
,__	___	___	___	___	
हर्	र्ट	्ट_	ट__	___	
-JO	JOI	OIN	IN_	N__	
रेट	ेट_	ट__	___	___	
मॉन	ॉनि	निट	िटर	टर_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

जी_	ी__	___	___	___	
वाच	ाच_	च__	___	___	
आर_	र__	___	___	___	
सॉल	ॉलि	लिड	िड_	ड__	
बॉड	ॉडी	डी_	ी__	___	
का_	ा__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ट्र	्रे	रेड	ेडि	डिश	
लुक	ुक_	क__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बहु	हुत	ुत_	त__	___	
स्ट	्टा	टाइ	ाइल	इलि	
नही	हीं	ीं_	ं__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ओएल	एलई	लईड	ईडी	डी_	
स्क	्क्	क्र	्री	रीन	
,__	___	___	___	___	
एंड	ंड्	ड्र	्रा	राय	
वीय	ीयर	यर_	र__	___	
,__	___	___	___	___	
वाट	ाटर	टर_	र__	___	
रस्	स्स	्सि	सिट	िटे	
आईप	ईपी	पी_	ी__	___	
67_	7__	___	___	___	
(__	___	___	___	___	
30_	0__	___	___	___	
मिन	िनट	नट_	ट__	___	
तक_	क__	___	___	___	
एक_	क__	___	___	___	
मीट	ीटर	टर_	र__	___	
गहर	हरे	रे_	े__	___	
पान	ानी	नी_	ी__	___	
में	ें_	ं__	___	___	
रखा	खा_	ा__	___	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
)__	___	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

300	00_	0__	___	___	
मिल	िली	ली_	ी__	___	
एंप	ंपि	पिय	ियर	यर_	
ऑवर	वर_	र__	___	___	
बैट	ैटर	टरी	री_	ी__	
क्ष	्षम	षमत	मता	ता_	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बैर	ैरो	रोम	ोमी	मीट	
,__	___	___	___	___	
गेय	ेयर	यरो	रोस	ोस्	
,__	___	___	___	___	
कंप	ंपा	पास	ास_	स__	
,__	___	___	___	___	
हर्	र्ट	्ट_	ट__	___	
-JO	JOI	OIN	IN_	N__	
रेट	ेट_	ट__	___	___	
मॉन	ॉनि	निट	िटर	टर_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

वॉय	ॉयस	यस_	स__	___	
कमा	मां	ांड	ंड_	ड__	
से_	े__	___	___	___	
निय	ियं	यंत	ंत्	त्र	
संभ	ंभव	भव_	व__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कीम	ीमत	मत_	त__	___	
169	69_	9__	___	___	
डॉल	ॉलर	लर_	र__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

जी_	ी__	___	___	___	
वॉच	ॉच_	च__	___	___	
आर_	र__	___	___	___	
के_	े__	___	___	___	
मुक	ुक़	क़ा	़ाब	ाबल	
कम_	म__	___	___	___	
आकर	कर्	र्ष	्षक	षक_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

लेक	ेकि	किन	िन_	न__	
परफ	रफै	फैक	ैक्	क्ट	
नही	हीं	ीं_	ं__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बैट	ैटर	टरी	री_	ी__	
लाइ	ाइफ	इफ़	फ़_	़__	
एक_	क__	___	___	___	
ही_	ी__	___	___	___	
दिन	िन_	न__	___	___	
होन	ोने	ने_	े__	___	
से_	े__	___	___	___	
इस्	स्त	्ते	तेम	ेमा	
करन	रना	ना_	ा__	___	
आसा	सान	ान_	न__	___	
नही	हीं	ीं_	ं__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ओएल	एलई	लईड	ईडी	डी_	
स्क	्क्	क्र	्री	रीन	
,__	___	___	___	___	
320	20_	0__	___	___	
मिल	िली	ली_	ी__	___	
एंप	ंपि	पिय	ियर	यर_	
ऑवर	वर_	र__	___	___	
,__	___	___	___	___	
पैड	ैडो	डोम	ोमी	मीट	
,__	___	___	___	___	
हार	ार्	र्ट	्ट_	ट__	
-JO	JOI	OIN	IN_	N__	
रेट	ेट_	ट__	___	___	
मॉन	ॉनि	निट	िटर	टर_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

वाट	ाटर	टर_	र__	___	
रस्	स्स	्सि	सिट	िटे	
आईप	ईपी	पी_	ी__	___	
67_	7__	___	___	___	
(__	___	___	___	___	
30_	0__	___	___	___	
मिन	िनट	नट_	ट__	___	
तक_	क__	___	___	___	
एक_	क__	___	___	___	
मीट	ीटर	टर_	र__	___	
गहर	हरे	रे_	े__	___	
पान	ानी	नी_	ी__	___	
में	ें_	ं__	___	___	
रखा	खा_	ा__	___	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
)__	___	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

2-ज	-जी	जी_	ी__	___	
और_	र__	___	___	___	
3-ज	-जी	जी_	ी__	___	
कार	ार्	र्ड	्ड_	ड__	
को_	ो__	___	___	___	
फ़ि	़िट	िट_	ट__	___	
करन	रना	ना_	ा__	___	
संभ	ंभव	भव_	व__	___	
जिस	िसस	ससे	से_	े__	
आप_	प__	___	___	___	
फोन	ोन_	न__	___	___	
कॉल	ॉल_	ल__	___	___	
भी_	ी__	___	___	___	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कीम	ीमत	मत_	त__	___	
385	85_	5__	___	___	
डॉल	ॉलर	लर_	र__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

गीय	ीयर	यर_	र__	___	
एस_	स__	___	___	___	
सैम	ैमस	मसं	संग	ंग_	
की_	ी__	___	___	___	
ओर_	र__	___	___	___	
से_	े__	___	___	___	
पहन	हने	ने_	े__	___	
जान	ाने	ने_	े__	___	
लाय	ायक	यक_	क__	___	
सबस	बसे	से_	े__	___	
बेह	ेहत	हतर	तरी	रीन	
उत्	त्प	्पा	पाद	ाद_	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

देख	ेखन	खने	ने_	े__	
में	ें_	ं__	___	___	
बेह	ेहत	हतर	तर_	र__	
लेक	ेकि	किन	िन_	न__	
बहु	हुत	ुत_	त__	___	
आकर	कर्	र्ष	्षक	षक_	
नही	हीं	ीं_	ं__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

एलस	लसी	सीड	ीडी	डी_	
स्क	्क्	क्र	्री	रीन	
,__	___	___	___	___	
एंड	ंड्	ड्र	्रा	राय	
वीय	ीयर	यर_	र__	___	
,__	___	___	___	___	
420	20_	0__	___	___	
मिल	िली	ली_	ी__	___	
एंप	ंपि	पिय	ियर	यर_	
ऑवर	वर_	र__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

जीप	ीपी	पीए	ीएस	एस_	
की_	ी__	___	___	___	
सुव	ुवि	विध	िधा	धा_	
वाल	ाला	ला_	ा__	___	
पहल	हला	ला_	ा__	___	
एंड	ंड्	ड्र	्रा	राय	
वीय	ीयर	यर_	र__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

वाट	ाटर	टर_	र__	___	
रस्	स्स	्सि	सिट	िटे	
आईप	ईपी	पी_	ी__	___	
68_	8__	___	___	___	
(__	___	___	___	___	
दो_	ो__	___	___	___	
घंट	ंटे	टे_	े__	___	
तक_	क__	___	___	___	
दो_	ो__	___	___	___	
मीट	ीटर	टर_	र__	___	
गहर	हरे	रे_	े__	___	
पान	ानी	नी_	ी__	___	
में	ें_	ं__	___	___	
रखा	खा_	ा__	___	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
)__	___	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कीम	ीमत	मत_	त__	___	
295	95_	5__	___	___	
डॉल	ॉलर	लर_	र__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बैट	ैटर	टरी	री_	ी__	
क्ष	्षम	षमत	मता	ता_	
को_	ो__	___	___	___	
लेक	ेकर	कर_	र__	___	
सोन	ोनी	नी_	ी__	___	
का_	ा__	___	___	___	
दो_	ो__	___	___	___	
दिन	िनो	नों	ों_	ं__	
का_	ा__	___	___	___	
दाव	ावा	वा_	ा__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

लेक	ेकि	किन	िन_	न__	
कोई	ोई_	ई__	___	___	
दूस	ूसर	सरी	री_	ी__	
ख़ा	़ास	ासि	सिय	ियत	
नही	हीं	ीं_	ं__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ओलई	लईड	ईडी	डी_	ी__	
स्क	्क्	क्र	्री	रीन	
,__	___	___	___	___	
एंड	ंड्	ड्र	्रा	राय	
वीय	ीयर	यर_	र__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

369	69_	9__	___	___	
मिल	िली	ली_	ी__	___	
एंप	ंपि	पिय	ियर	यर_	
ऑवर	वर_	र__	___	___	
की_	ी__	___	___	___	
बैट	ैटर	टरी	री_	ी__	
क्ष	्षम	षमत	मता	ता_	
,__	___	___	___	___	
हर्	र्ट	्ट_	ट__	___	
रेट	ेट_	ट__	___	___	
मॉन	ॉनि	निट	िटर	टर_	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

वाट	ाटर	टर_	र__	___	
रस्	स्स	्सि	सिट	िटे	
आईप	ईपी	पी_	ी__	___	
55_	5__	___	___	___	
(__	___	___	___	___	
पान	ानी	नी_	ी__	___	
झेल	ेल_	ल__	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
लेक	ेकि	किन	िन_	न__	
पान	ानी	नी_	ी__	___	
में	ें_	ं__	___	___	
डूब	ूबो	बो_	ो__	___	
नही	हीं	ीं_	ं__	___	
सकत	कते	ते_	े__	___	
)__	___	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कीम	ीमत	मत_	त__	___	
257	57_	7__	___	___	
डॉल	ॉलर	लर_	र__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बेह	ेहत	हतर	तरी	रीन	
स्ट	्टा	टाइ	ाइल	इल_	
,__	___	___	___	___	
लेक	ेकि	किन	िन_	न__	
बाज	ाज़	ज़ा	़ार	ार_	
में	ें_	ं__	___	___	
इस_	स__	___	___	___	
कीम	ीमत	मत_	त__	___	
पर_	र__	___	___	___	
इसस	ससे	से_	े__	___	
भी_	ी__	___	___	___	
स्ट	्टा	टाइ	ाइल	इलि	
वॉच	ॉच_	च__	___	___	
मौज	ौजू	जूद	ूद_	द__	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

मिर	िरा	रास	ासो	सोल	
टच_	च__	___	___	___	
स्क	्क्	क्र	्री	रीन	
,__	___	___	___	___	
240	40_	0__	___	___	
मिल	िली	ली_	ी__	___	
एंप	ंपि	पिय	ियर	यर_	
ऑवर	वर_	र__	___	___	
की_	ी__	___	___	___	
बैट	ैटर	टरी	री_	ी__	
क्ष	्षम	षमत	मता	ता_	
,__	___	___	___	___	
पैड	ैडो	डोम	ोमी	मीट	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

बेह	ेहत	हतर	तर_	र__	
स्क	्क्	क्र	्री	रीन	
तकन	कनी	नीक	ीक_	क__	
के_	े__	___	___	___	
चलत	लते	ते_	े__	___	
बैट	ैटर	टरी	री_	ी__	
क्ष	्षम	षमत	मता	ता_	
का_	ा__	___	___	___	
बढ़	ढ़न	़ना	ना_	ा__	
भी_	ी__	___	___	___	
संभ	ंभव	भव_	व__	___	
