बु	ुध	धव	वा	ार	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सक	की	ी_	__	
इं	ंट	टर	रन	नल	
मे	ेम	मो	ोर	री	
4_	__	__	__	__	
जी	ीब	बी	ी_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
जि	िस	सम	मे	ें	
से	े_	__	__	__	
इस	स्	्त	ते	ेम	
कर	रन	ने	े_	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
के	ेव	वल	ल_	__	
2_	__	__	__	__	
जी	ीब	बी	ी_	__	
मे	ेम	मो	ोर	री	
ही	ी_	__	__	__	
उप	पल	लब	ब्	्ध	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ऐस	से	े_	__	__	
मे	ें	ं_	__	__	
इस	स_	__	__	__	
मा	ाड	डल	ल_	__	
को	ो_	__	__	__	
खर	री	ीद	दन	ने	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
ही	ी_	__	__	__	
आप	पक	को	ो_	__	
कम	म_	__	__	__	
से	े_	__	__	__	
कम	म_	__	__	__	
16	6_	__	__	__	
जी	ीब	बी	ी_	__	
का	ा_	__	__	__	
एक	क_	__	__	__	
मा	ाइ	इक	क्	्र	
का	ार	र्	्ड	ड_	
खर	री	ीद	दन	ना	
पड	ड़	़े	ेग	गा	
जि	िस	सक	का	ा_	
मत	तल	लब	ब_	__	
है	ै_	__	__	__	
80	00	0_	__	__	
से	े_	__	__	__	
10	00	00	0_	__	
रु	ुप	पय	ये	े_	
का	ा_	__	__	__	
अत	ति	िर	रि	िक	
खर	र्	्च	च_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

वै	ैस	से	े_	__	
इस	सम	मे	ें	ं_	
32	2_	__	__	__	
जी	ीब	बी	ी_	__	
तक	क_	__	__	__	
का	ा_	__	__	__	
मा	ाइ	इक	क्	्र	
का	ार	र्	्ड	ड_	
लग	गा	ा_	__	__	
कर	र_	__	__	__	
मे	ेम	मो	ोर	री	
अप	पग	ग्	्र	रे	
की	ी_	__	__	__	
जा	ा_	__	__	__	
सक	कत	ती	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कै	ैम	मर	रे	े_	
की	ी_	__	__	__	
क्	्ष	षम	मत	ता	
बह	हु	ुत	त_	__	
अच	च्	्छ	छी	ी_	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इं	ंट	टर	रन	ने	
के	े_	__	__	__	
लि	िए	ए_	__	__	
सि	िम	म_	__	__	
का	ार	र्	्ड	ड_	
का	ा_	__	__	__	
उप	पय	यो	ोग	ग_	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
ले	ेक	कि	िन	न_	
के	ेव	वल	ल_	__	
2ज	जी	ी_	__	__	
ने	ेट	टव	वर	र्	
ही	ी_	__	__	__	
इस	स_	__	__	__	
पर	र_	__	__	__	
का	ाम	म_	__	__	
कर	रे	ेग	गा	ा_	
।_	__	__	__	__	
EO	OL	L_	__	__	

अग	गर	र_	__	__	
3ज	जी	ी_	__	__	
ने	ेट	टव	वर	र्	
चा	ाह	हि	िए	ए_	
तो	ो_	__	__	__	
बा	ाह	हर	र_	__	
से	े_	__	__	__	
डो	ों	ंग	गल	ल_	
लग	गा	ान	नी	ी_	
पड	ड़	़े	ेग	गी	
।_	__	__	__	__	
EO	OL	L_	__	__	

वा	ाइ	इ_	__	__	
-J	JO	OI	IN	N_	
फा	ाइ	इ_	__	__	
और	र_	__	__	__	
ब्	्ल	लू	ूट	टू	
की	ी_	__	__	__	
सु	ुव	वि	िध	धा	
भी	ी_	__	__	__	
इस	सम	मे	ें	ं_	
मौ	ौज	जू	ूद	द_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

सि	िम	म_	__	__	
का	ार	र्	्ड	ड_	
से	े_	__	__	__	
3ज	जी	ी_	__	__	
ने	ेट	टव	वर	र्	
कन	ने	ेक	क्	्ट	
कर	रन	ने	े_	__	
का	ा_	__	__	__	
वि	िक	कल	ल्	्प	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
जो	ो_	__	__	__	
इस	स_	__	__	__	
टै	ैब	बल	ले	ेट	
की	ी_	__	__	__	
सब	बस	से	े_	__	
बड	ड़	़ी	ी_	__	
कम	मज	जो	ोर	रि	
मे	ें	ं_	__	__	
से	े_	__	__	__	
एक	क_	__	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
क्	्य	यो	ों	ंक	
ज्	्य	या	ाद	दा	
लो	ोग	ग_	__	__	
अच	च्	्छ	छी	ी_	
स्	्प	पी	ीड	ड_	
के	े_	__	__	__	
चल	लत	ते	े_	__	
इं	ंट	टर	रन	ने	
के	े_	__	__	__	
लि	िए	ए_	__	__	
3ज	जी	ी_	__	__	
ने	ेट	टव	वर	र्	
का	ा_	__	__	__	
उप	पय	यो	ोग	ग_	
कर	रत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

अग	गर	र_	__	__	
आप	प_	__	__	__	
पह	हल	ली	ी_	__	
बा	ार	र_	__	__	
टै	ैब	बल	ले	ेट	
खर	री	ीद	द_	__	
कर	रह	हे	े_	__	
है	ैं	ं_	__	__	
और	र_	__	__	__	
आप	पक	का	ा_	__	
बज	जट	ट_	__	__	
10	0_	__	__	__	
हज	जा	ार	र_	__	
रु	ुप	पय	ये	े_	
से	े_	__	__	__	
नी	ीच	चे	े_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
तो	ो_	__	__	__	
इस	से	े_	__	__	
खर	री	ीद	दन	ना	
बु	ुर	रा	ा_	__	
वि	िक	कल	ल्	्प	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

स्	्प	पी	ीड	ड_	
ठी	ीक	क_	__	__	
-J	JO	OI	IN	N_	
ठा	ाक	क_	__	__	
हो	ोन	ने	े_	__	
के	े_	__	__	__	
का	ार	रण	ण_	__	
गे	ेम	मि	िं	ंग	
का	ा_	__	__	__	
ठी	ीक	क_	__	__	
ठा	ाक	क_	__	__	
मज	ज़	़ा	ा_	__	
इस	स_	__	__	__	
पर	र_	__	__	__	
मि	िल	ल_	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेक	कि	िन	न_	
ग्	्र	रा	ाफ	फि	
बह	हु	ुत	त_	__	
ज्	्य	या	ाद	दा	
अच	च्	्छ	छी	ी_	
गु	ुण	णव	वत	त्	
के	े_	__	__	__	
नह	ही	ीं	ं_	__	
दि	िख	खे	ें	ंग	
।_	__	__	__	__	
EO	OL	L_	__	__	

ध्	्य	या	ान	न_	
रह	हे	े_	__	__	
कि	ि_	__	__	__	
इस	स_	__	__	__	
टै	ैब	बल	ले	ेट	
की	ी_	__	__	__	
बै	ैट	टर	री	ी_	
थो	ोड	ड़	़ी	ी_	
कम	मज	जो	ोर	र_	
है	ै_	__	__	__	
,_	__	__	__	__	
इस	सल	लि	िए	ए_	
लग	गा	ात	ता	ार	
इस	स्	्त	ते	ेम	
कर	रन	ने	े_	__	
पर	र_	__	__	__	
दि	िन	न_	__	__	
मे	ें	ं_	__	__	
एक	क_	__	__	__	
से	े_	__	__	__	
ज्	्य	या	ाद	दा	
बा	ार	र_	__	__	
भी	ी_	__	__	__	
चा	ार	र्	्ज	ज_	
कर	रन	ना	ा_	__	
पड	ड़	़_	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेक	कि	िन	न_	
कु	ुल	ल_	__	__	
मि	िल	ला	ाक	कर	
इस	स_	__	__	__	
की	ीम	मत	त_	__	
मे	ें	ं_	__	__	
यह	ह_	__	__	__	
औस	सत	त_	__	__	
से	े_	__	__	__	
कु	ुछ	छ_	__	__	
बे	ेह	हत	तर	र_	
श्	्र	रे	ेण	णी	
का	ा_	__	__	__	
टै	ैब	बल	ले	ेट	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

28	8_	__	__	__	
हज	जा	ार	र_	__	
की	ी_	__	__	__	
की	ीम	मत	त_	__	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
ले	ेन	नो	ोव	वो	
यो	ोग	गा	ा_	__	
2_	__	__	__	__	
को	ो_	__	__	__	
आइ	इप	पै	ैड	ड_	
रे	ेट	टि	िन	ना	
या	ा_	__	__	__	
सै	ैम	मस	सं	ंग	
टै	ैब	ब_	__	__	
4_	__	__	__	__	
या	ा_	__	__	__	
आन	ने	े_	__	__	
वा	ाल	ले	े_	__	
ने	ेक	क्	्स	सस	
9_	__	__	__	__	
से	े_	__	__	__	
बड़	ड़ी	ी_	__	__	
प्	्र	रत	ति	िस	
मि	िल	ल_	__	__	
सक	कत	ती	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फि	िर	र_	__	__	
भी	ी_	__	__	__	
ले	ेन	नो	ोव	वो	
यो	ोग	गा	ा_	__	
2_	__	__	__	__	
टै	ैब	बल	ले	ेट	
एक	क_	__	__	__	
अच	च्	्छ	छा	ा_	
सौ	ौद	दा	ा_	__	
सा	ाब	बि	ित	त_	
हो	ोत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

खा	ास	सक	कर	र_	
व्	्य	या	ाव	वह	
प्	्र	रय	यो	ोग	
मे	ें	ं_	__	__	
बा	ाज	जा	ार	र_	
के	े_	__	__	__	
अन	न्	्य	य_	__	
उत	त्	्प	पा	ाद	
से	े_	__	__	__	
कह	ही	ीं	ं_	__	
बे	ेह	हत	तर	र_	
है	ै_	__	__	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
एं	ंड	ड्	्र	रॉ	
यू	ूआ	आई	ई_	__	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
प्	्र	रय	यो	ोग	
मे	ें	ं_	__	__	
आस	सा	ान	न_	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेन	नो	ोव	वो	
यो	ोग	गा	ा_	__	
2_	__	__	__	__	
टै	ैब	बल	ले	ेट	
से	े_	__	__	__	
दि	िख	खन	ने	े_	
मे	ें	ं_	__	__	
थो	ोड़	ड़ा	ा_	__	
अल	लग	ग_	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
आक	का	ार	र_	__	
मे	ें	ं_	__	__	
बह	हु	ुत	त_	__	
बड़	ड़ा	ा_	__	__	
नज	जर	र_	__	__	
आत	ता	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

शु	ुर	रु	ुआ	आत	
मे	ें	ं_	__	__	
टै	ैब	बल	ले	ेट	
का	ा_	__	__	__	
लु	ुक	क_	__	__	
अच	च्	्छ	छा	ा_	
लग	गत	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
जब	ब_	__	__	__	
इस	से	े_	__	__	
प्	्र	रय	यो	ोग	
कर	रत	ते	े_	__	
है	ैं	ं_	__	__	
तो	ो_	__	__	__	
इस	सम	मे	ें	ं_	
कु	ुछ	छ_	__	__	
कम	मि	िय	या	ां	
नज	जर	र_	__	__	
आत	ती	ी_	__	__	
है	ैं	ं_	__	__	
जि	िन	नप	पर	र_	
ध्	्य	या	ान	न_	
दि	िए	ए_	__	__	
जा	ान	ने	े_	__	
की	ी_	__	__	__	
जर	रू	ूर	रत	त_	
थी	ी_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेन	नो	ोव	वो	
यो	ोग	गा	ा_	__	
2_	__	__	__	__	
टै	ैब	बल	ले	ेट	
का	ा_	__	__	__	
डि	िज	जा	ाइ	इन	
अब	ब_	__	__	__	
तक	क_	__	__	__	
के	े_	__	__	__	
सब	बस	से	े_	__	
अच	च्	्छ	छे	े_	
टै	ैब	बल	ले	ेट	
डि	िज	जा	ाइ	इन	
मे	ें	ं_	__	__	
मा	ान	ना	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पि	िछ	छल	ले	े_	
जे	ेन	न_	__	__	
के	े_	__	__	__	
ले	ेन	नो	ोव	वो	
यो	ोग	गा	ा_	__	
टै	ैब	बल	ले	ेट	
का	ा_	__	__	__	
ही	ी_	__	__	__	
यह	ह_	__	__	__	
पर	रि	िष	ष्	्क	
रू	ूप	प_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यो	ोग	गा	ा_	__	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
ही	ी_	__	__	__	
इस	स_	__	__	__	
बा	ार	र_	__	__	
भी	ी_	__	__	__	
इस	सम	मे	ें	ं_	
कि	िक	कस	स्	्ट	
है	ैं	ं_	__	__	
ली	ीक	कि	िन	न_	
इस	स_	__	__	__	
बा	ार	र_	__	__	
‘_	__	__	__	__	
है	ैं	ंग	ग_	__	
’_	__	__	__	__	
का	ा_	__	__	__	
एक	क_	__	__	__	
और	र_	__	__	__	
पो	ोज	जी	ीश	शन	
जो	ोड़	ड़ा	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेन	नो	ोव	वो	
की	ी_	__	__	__	
पु	ुर	रा	ान	ने	
वा	ाइ	इब	ब_	__	
एक	क्	्स	स_	__	
की	ी_	__	__	__	
तर	र्	्ह	ह_	__	
इस	सम	मे	ें	ं_	
भी	ी_	__	__	__	
खु	ुर	रद	दर	री	
सि	िल	ल्	्व	वर	
फि	िन	नि	िश	श_	
का	ा_	__	__	__	
प्	्ल	ला	ास	स्	
बै	ैक	क_	__	__	
दि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

मे	ेट	टल	ल_	__	
कि	िक	क_	__	__	
स्	्ट	टै	ैं	ंड	
और	र_	__	__	__	
प्	्र	रभ	भा	ाव	
डि	िज	जा	ाइ	इन	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
लै	ैप	पट	टॉ	ॉप	
प्	्र	री	ीम	मि	
हो	ोन	ने	े_	__	
का	ा_	__	__	__	
एह	हस	सा	ास	स_	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पू	ूर	रा	ा_	__	
96	60	00	0_	__	
एम	मए	एए	एच	च_	
की	ी_	__	__	__	
बै	ैट	टर	री	ी_	
को	ो_	__	__	__	
ले	ेन	नो	ोव	वो	
ने	े_	__	__	__	
इस	सम	मे	ें	ं_	
स्	्क	क्	्र	री	
के	े_	__	__	__	
सब	बस	से	े_	__	
बा	ाई	ईं	ं_	__	
ओर	र_	__	__	__	
रख	खा	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
का	ार	रण	ण_	__	
बस	स_	__	__	__	
इस	सी	ी_	__	__	
ओर	र_	__	__	__	
से	े_	__	__	__	
यह	ह_	__	__	__	
भा	ार	री	ी_	__	
भी	ी_	__	__	__	
मह	हस	सू	ूस	स_	
हो	ोत	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
दू	ूस	सर	री	ी_	
तर	रफ	फ_	__	__	
से	े_	__	__	__	
पक	कड़	ड़न	ने	े_	
की	ी_	__	__	__	
को	ोश	शि	िश	श_	
कर	रन	ने	े_	__	
पर	र_	__	__	__	
पू	ूर	री	ी_	__	
तर	रह	ह_	__	__	
हल	ल्	्क	का	ा_	
मह	हस	सू	ूस	स_	
हो	ोत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

डि	िस	स्	्प	प्	
को	ो_	__	__	__	
इस	स_	__	__	__	
तर	रह	ह_	__	__	
बन	ना	ाय	या	ा_	
गय	या	ा_	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
कि	ि_	__	__	__	
इस	से	े_	__	__	
पक	कड़	ड़न	ने	े_	
मे	ें	ं_	__	__	
आप	पक	को	ो_	__	
पर	रे	ेश	शा	ान	
नह	ही	ीं	ं_	__	
आत	ती	ी_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

डि	िस	स्	्प	प्	
क्	्व	वा	ाल	लि	
की	ी_	__	__	__	
बा	ात	त_	__	__	
कर	रे	ें	ं_	__	
तो	ो_	__	__	__	
यह	ह_	__	__	__	
ब्	्र	रा	ाइ	इट	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
ते	ेज	ज_	__	__	
धू	ूप	प_	__	__	
मे	ें	ं_	__	__	
भी	ी_	__	__	__	
इस	सम	मे	ें	ं_	
वि	िज	जि	िब	बि	
की	ी_	__	__	__	
दि	िक	क्	्क	कत	
नह	ही	ीं	ं_	__	
आत	ती	ी_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

हा	ाल	ला	ां	ंक	
इस	सम	मे	ें	ं_	
फि	िं	ंग	गर	रप	
मै	ैग	ग्	्न	ने	
का	ा_	__	__	__	
प्	्र	रय	यो	ोग	
कि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
और	र_	__	__	__	
यह	ह_	__	__	__	
थो	ोड़	ड़ा	ा_	__	
रि	िफ	फ्	्ल	ले	
भी	ी_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एं	ंड	ड्	्र	रॉ	
4.	.4	4_	__	__	
कि	िट	टक	कै	ैट	
पर	र_	__	__	__	
चल	लन	ने	े_	__	
वा	ाल	ले	े_	__	
इस	स_	__	__	__	
टै	ैब	बल	ले	ेट	
मे	ें	ं_	__	__	
उच	च्	्च	च_	__	
श्	्र	रे	ेण	णी	
का	ा_	__	__	__	
कस	स्	्ट	ट्	्म	
यू	ूआ	आई	ई_	__	
प्	्र	रय	यो	ोग	
कि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सक	का	ा_	__	
ब्	्ल	लो	ोट	टव	
बह	हु	ुत	त_	__	
ज्	्य	या	ाद	दा	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
ले	ेन	नो	ोव	वो	
ने	े_	__	__	__	
अप	पन	ने	े_	__	
यू	ूआ	आई	ई_	__	
को	ो_	__	__	__	
आई	ईओ	ओए	एस	स_	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
बन	ना	ान	ने	े_	
की	ी_	__	__	__	
बह	हु	ुत	त_	__	
को	ोश	शि	िश	श_	
की	ी_	__	__	__	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
उस	सी	ी_	__	__	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
इस	सम	मे	ें	ं_	
भी	ी_	__	__	__	
को	ोई	ई_	__	__	
एप	प_	__	__	__	
ड्	्र	रॉ	ॉअ	अर	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

हा	ाल	ला	ां	ंक	
इस	सस	से	े_	__	
इस	सक	के	े_	__	
फं	ंक	क्	्श	शन	
पर	र_	__	__	__	
को	ोई	ई_	__	__	
अस	सर	र_	__	__	
नह	ही	ीं	ं_	__	
पड़	ड़त	ता	ा_	__	
सि	िव	वा	ा_	__	
इस	सक	के	े_	__	
कि	ि_	__	__	__	
हम	म_	__	__	__	
एप	प_	__	__	__	
ड्	्र	रॉ	ॉअ	अर	
और	र_	__	__	__	
एं	ंड	ड्	्र	रॉ	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
अग	गर	र_	__	__	
इस	सक	का	ा_	__	
यू	ूआ	आई	ई_	__	
हो	ोत	ता	ा_	__	
तो	ो_	__	__	__	
शा	ाय	यद	द_	__	
हम	मे	ें	ं_	__	
ज्	्य	या	ाद	दा	
पस	सं	ंद	द_	__	
आत	ता	ा_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

1.	.8	86	6_	__	
गी	ीग	गा	ा_	__	
हर	र्	्ट	ट्	्ज	
का	ा_	__	__	__	
इं	ंट	टे	ेल	ल_	
प्	्र	रो	ोस	से	
कई	ई_	__	__	__	
बड	डे	े_	__	__	
टा	ास	स्	्क	क_	
को	ो_	__	__	__	
एक	क_	__	__	__	
सा	ाथ	थ_	__	__	
है	ैं	ंड	डल	ल_	
कर	र_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एस	सफ	फा	ाल	ल्	
8_	__	__	__	__	
खे	ेल	लत	ते	े_	
हु	ुए	ए_	__	__	
,_	__	__	__	__	
10	08	80	0प	पी	
मू	ूव	वी	ी_	__	
दे	ेख	खत	ते	े_	
हु	ुए	ए_	__	__	
या	ा_	__	__	__	
यह	हा	ां	ं_	__	
तक	क_	__	__	__	
कि	ि_	__	__	__	
गू	ूग	गल	ल_	__	
डॉ	ॉक	क्	्स	स_	
पर	र_	__	__	__	
यह	ह_	__	__	__	
रि	िव	व्	्य	यू	
लि	िख	खत	ते	े_	
हु	ुए	ए_	__	__	
भी	ी_	__	__	__	
कह	ही	ीं	ं_	__	
को	ोई	ई_	__	__	
सम	मस	स्	्य	या	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

टै	ैब	बल	ले	ेट	
स्	्क	क्	्र	री	
के	े_	__	__	__	
एक	क_	__	__	__	
तर	रफ	फ_	__	__	
स्	्ट	टी	ीर	रि	
स्	्प	पी	ीक	कर	
जो	ो_	__	__	__	
वी	ीड	डि	िय	यो	
दे	ेख	खत	ते	े_	
के	े_	__	__	__	
लि	िए	ए_	__	__	
अच	च्	्छ	छा	ा_	
है	ै_	__	__	__	
,_	__	__	__	__	
पर	र_	__	__	__	
गा	ान	ने	े_	__	
सु	ुन	नन	ने	े_	
के	े_	__	__	__	
लि	िए	ए_	__	__	
इस	से	े_	__	__	
बह	हु	ुत	त_	__	
अच	च्	्छ	छा	ा_	
नह	ही	ीं	ं_	__	
मा	ान	ना	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

सि	िं	ंथ	थे	ेट	
बे	ें	ंच	चम	मा	
पर	र_	__	__	__	
टै	ैब	बल	ले	ेट	
ने	े_	__	__	__	
अच	च्	्छ	छा	ा_	
स्	्क	को	ोर	र_	
कि	िय	या	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

टै	ैब	बल	ले	ेट	
से	े_	__	__	__	
जु	ुड़	ड़ा	ा_	__	
इं	ंट	टे	ेल	ल_	
चि	िप	प_	__	__	
दू	ूस	सर	रे	े_	
डि	िव	वा	ाइ	इस	
के	े_	__	__	__	
मु	ुक	का	ाब	बल	
इस	से	े_	__	__	
ठं	ंढ	ढा	ा_	__	
रख	खत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेन	नो	ोव	वो	
यो	ोग	गा	ा_	__	
2_	__	__	__	__	
का	ा_	__	__	__	
बै	ैट	टर	री	ी_	
पर	रफ	फॉ	ॉर	र्	
नि	िश	श्	्च	चय	
ही	ी_	__	__	__	
बह	हु	ुत	त_	__	
बढ़	ढ़ि	िय	या	ा_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पू	ूर	री	ी_	__	
तर	रह	ह_	__	__	
चा	ार	र्	्ज	ज_	
कि	िय	या	ा_	__	
हु	ुआ	आ_	__	__	
यह	ह_	__	__	__	
टै	ैब	बल	ले	ेट	
हम	मा	ार	रे	े_	
टे	ेस	स्	्ट	ट_	
मे	ें	ं_	__	__	
ती	ीन	न_	__	__	
दि	िन	नो	ों	ं_	
से	े_	__	__	__	
बस	स_	__	__	__	
कु	ुछ	छ_	__	__	
ही	ी_	__	__	__	
घं	ंट	टे	े_	__	
कम	म_	__	__	__	
चल	ला	ा_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ले	ेन	नो	ोव	वो	
यो	ोग	गा	ा_	__	
2_	__	__	__	__	
का	ा_	__	__	__	
8_	__	__	__	__	
मे	ेग	गा	ा_	__	
पि	िक	क्	्स	सल	
का	ा_	__	__	__	
कै	ैम	मर	रा	ा_	
पर	र्	्य	या	ाप	
रू	ूप	प_	__	__	
से	े_	__	__	__	
अच	च्	्छ	छा	ा_	
है	ै_	__	__	__	
कि	ि_	__	__	__	
कभ	भी	ी_	__	__	
-J	JO	OI	IN	N_	
कभ	भा	ार	र_	__	
कि	िस	सी	ी_	__	
वि	िश	शे	ेष	ष_	
अव	वस	सर	र_	__	
पर	र_	__	__	__	
आप	प_	__	__	__	
अच	च्	्छ	छी	ी_	
ला	ाइ	इट	ट_	__	
मे	ें	ं_	__	__	
इस	सस	से	े_	__	
अच	च्	्छ	छे	े_	
पि	िक	क्	्च	चर	
ले	े_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

हा	ाल	ला	ां	ंक	
सब	ब्	्ज	जे	ेक	
को	ो_	__	__	__	
फो	ोक	कस	स_	__	
कर	रन	ने	े_	__	
मे	ें	ं_	__	__	
यह	ह_	__	__	__	
बह	हु	ुत	त_	__	
सम	मय	य_	__	__	
लग	गा	ात	ता	ा_	
है	ै_	__	__	__	
और	र_	__	__	__	
क्	्ल	लि	िक	क_	
कि	िए	ए_	__	__	
पि	िक	क्	्च	चर	
थो	ोड़	ड़े	े_	__	
धु	ुं	ंध	धल	ले	
भी	ी_	__	__	__	
हो	ोत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

वी	ीड	डि	िय	यो	
क्	्व	वा	ाल	लि	
बह	हु	ुत	त_	__	
अच	च्	्छ	छी	ी_	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
बे	ेह	हत	तर	र_	
हो	ोग	गा	ा_	__	
अग	गर	र_	__	__	
आप	प_	__	__	__	
इस	सक	के	े_	__	
लि	िए	ए_	__	__	
अप	पन	ना	ा_	__	
स्	्म	मा	ार	र्	
कै	ैम	मर	रा	ा_	
ही	ी_	__	__	__	
प्	्र	रय	यो	ोग	
कर	रे	ें	ं_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कम	म_	__	__	__	
रौ	ौश	शन	नी	ी_	
मे	ें	ं_	__	__	
भी	ी_	__	__	__	
आप	प_	__	__	__	
इस	सस	से	े_	__	
अच	च्	्छ	छे	े_	
पि	िक	क्	्च	चर	
नह	ही	ीं	ं_	__	
ले	े_	__	__	__	
सक	कत	ते	े_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सक	के	े_	__	
अल	ला	ाव	वे	े_	
फ्	्र	रं	ंट	ट_	
कै	ैम	मर	रा	ा_	
भी	ी_	__	__	__	
बस	स_	__	__	__	
वी	ीड	डि	िय	यो	
चै	ैट	ट_	__	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
ही	ी_	__	__	__	
का	ाम	म_	__	__	
आन	ने	े_	__	__	
ला	ाय	यक	क_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
